sequence_id,case_id,configuration_id,method_id,variant,role,evaluator_contract,evaluation_status,failure_classification,data_mode,synthetic_data_used,semisynthetic_data_used,roll_rmse_deg,pitch_rmse_deg,delta_vs_frozen_roll_rmse_deg,delta_vs_frozen_pitch_rmse_deg,delta_vs_t5a_r5_roll_rmse_deg,delta_vs_t5a_r5_pitch_rmse_deg,frozen_source_table,frozen_source_line,source_nav_sha256,error_series_source,baseline3d_observability
BY2,UNAVAILABLE,F02,F02,FROZEN_V21,FROZEN_COMPARATOR_UNCHANGED,evaluator_contract_v3,COMPLETED,NONE,real_raw,False,False,3.3382092245764645,2.918852028781131,0E-16,0E-15,0.0029569764253518,-0.0039434951438478,<CLEAN_ROOT>/stages/CLEAN7_HEXT_EXTERNAL_SEQUENCES/08_AGGREGATE/HORIZONTAL_TABLE_V3_THREE_SEQUENCES.csv,2,73677f36d2b31a252963c9cbf0fc858a39b08746cad680764453a4a3dac050b0,<CLEAN_ROOT>/stages/CLEAN6_SENSOR_MODEL_V21/RETAINED_RUNS/RUN_00002/P13_cycle010_attempt01/v3/FROZEN_EVALUATOR/error_series.csv.gz,NOT_APPLICABLE
BY2,UNAVAILABLE,F02,F02,T5A_R5,T5A_R5_COMPARATOR_UNCHANGED,evaluator_contract_v3,COMPLETED,NONE,real_raw,False,False,3.3352522481511127,2.9227955239249788,-0.0029569764253518,0.0039434951438478,0E-16,0E-16,<CLEAN_ROOT>/stages/CLEAN7_HEXT_EXTERNAL_SEQUENCES/08_AGGREGATE/HORIZONTAL_TABLE_V3_THREE_SEQUENCES.csv,2,0126688fd2c772efbdd885b44b5257131257ea481b01393901754afdeaa03b43,<T5A_SCRATCH>/04_EVAL/v3/BY2/F02/R5/FROZEN_EVALUATOR,NOT_APPLICABLE
BY2,UNAVAILABLE,F02,F02,B3,SENSITIVITY_OUTSIDE_FROZEN_CHAIN,evaluator_contract_v3,COMPLETED,NONE,real_raw,False,False,2.5143408212019613,2.62405202053982,-0.8238684033745032,-0.294800008241311,-0.8209114269491514,-0.2987435033851588,<CLEAN_ROOT>/stages/CLEAN7_HEXT_EXTERNAL_SEQUENCES/08_AGGREGATE/HORIZONTAL_TABLE_V3_THREE_SEQUENCES.csv,2,0cf8c313544b23a303926bb29d9f1e75cf09f89c1817f5847bf8ee2b09e4e404,<T5BC_SCRATCH>/06_EVAL/v3/BY2__F02__B3__SEQUENCE/FROZEN_EVALUATOR,Two rotation directions; rotation about the baseline axis unobservable
BY2,UNAVAILABLE,A04,A04,FROZEN_V21,FROZEN_COMPARATOR_UNCHANGED,evaluator_contract_v3,COMPLETED,NONE,real_raw,False,False,2.066601967091301,2.1396053708581535,0E-15,0E-16,UNAVAILABLE,UNAVAILABLE,<CLEAN_ROOT>/stages/CLEAN7_HEXT_EXTERNAL_SEQUENCES/08_AGGREGATE/HORIZONTAL_TABLE_V3_THREE_SEQUENCES.csv,5,d81b6b62f70a7d9fa96fd830ba00a07fd4b793d05d1b05379551fd212997ed8e,<CLEAN_ROOT>/stages/CLEAN6_SENSOR_MODEL_V21/RETAINED_RUNS/RUN_00006/P13_cycle010_attempt01/v3/FROZEN_EVALUATOR/error_series.csv.gz,NOT_APPLICABLE
BY2,UNAVAILABLE,A04,A04,B3,SENSITIVITY_OUTSIDE_FROZEN_CHAIN,evaluator_contract_v3,COMPLETED,NONE,real_raw,False,False,2.0506461687895166,2.1656098101701504,-0.0159557983017844,0.0260044393119969,UNAVAILABLE,UNAVAILABLE,<CLEAN_ROOT>/stages/CLEAN7_HEXT_EXTERNAL_SEQUENCES/08_AGGREGATE/HORIZONTAL_TABLE_V3_THREE_SEQUENCES.csv,5,fa2231b4c63bee721fb49565368a640ea948f2ac48b1407bd7e8bef27563110b,<T5BC_SCRATCH>/06_EVAL/v3/BY2__A04__B3__SEQUENCE/FROZEN_EVALUATOR,Two rotation directions; rotation about the baseline axis unobservable
BY2,UNAVAILABLE,F04,F04,FROZEN_V21,FROZEN_COMPARATOR_UNCHANGED,evaluator_contract_v3,COMPLETED,NONE,real_raw,False,False,2.254053976093779,2.2633582019083436,0E-15,0E-16,-0.000286426245539,-0.0021325420969704,<CLEAN_ROOT>/stages/CLEAN7_HEXT_EXTERNAL_SEQUENCES/08_AGGREGATE/HORIZONTAL_TABLE_V3_THREE_SEQUENCES.csv,4,b4c0ed12ab825542cd63c8c0c1d587153c2526aaf08b7a1857a7cc8925e3a465,<CLEAN_ROOT>/stages/CLEAN6_SENSOR_MODEL_V21/RETAINED_RUNS/RUN_00004/P13_cycle010_attempt01/v3/FROZEN_EVALUATOR/error_series.csv.gz,NOT_APPLICABLE
BY2,UNAVAILABLE,F04,F04,T5A_R5,T5A_R5_COMPARATOR_UNCHANGED,evaluator_contract_v3,COMPLETED,NONE,real_raw,False,False,2.254340402339318,2.265490744005314,0.000286426245539,0.0021325420969704,0E-15,0E-15,<CLEAN_ROOT>/stages/CLEAN7_HEXT_EXTERNAL_SEQUENCES/08_AGGREGATE/HORIZONTAL_TABLE_V3_THREE_SEQUENCES.csv,4,2fda678fbc9d760e7bd4b93b6e7f99861b41ea91aef86252566ea059abbeb0f4,<T5A_SCRATCH>/04_EVAL/v3/BY2/F04/R5/FROZEN_EVALUATOR,NOT_APPLICABLE
BY2,UNAVAILABLE,F04,F04,R5W,SENSITIVITY_OUTSIDE_FROZEN_CHAIN,evaluator_contract_v3,COMPLETED,NONE,real_raw,False,False,2.254144991369393,2.265026889561849,0.000091015275614,0.0016686876535054,-0.000195410969925,-0.000463854443465,<CLEAN_ROOT>/stages/CLEAN7_HEXT_EXTERNAL_SEQUENCES/08_AGGREGATE/HORIZONTAL_TABLE_V3_THREE_SEQUENCES.csv,4,7f9f8956583bf16152c80df5d32ad3f369262cd97725ca86f4f0ad4cbae6c504,<T5BC_SCRATCH>/06_EVAL/v3/BY2__F04__R5W__SEQUENCE/FROZEN_EVALUATOR,NOT_APPLICABLE
BY2,UNAVAILABLE,F04,F04,R5SIGMA,SENSITIVITY_OUTSIDE_FROZEN_CHAIN,evaluator_contract_v3,COMPLETED,NONE,real_raw,False,False,2.2538879516098143,2.265453806160532,-0.0001660244839647,0.0020956042521884,-0.0004524507295037,-0.000036937844782,<CLEAN_ROOT>/stages/CLEAN7_HEXT_EXTERNAL_SEQUENCES/08_AGGREGATE/HORIZONTAL_TABLE_V3_THREE_SEQUENCES.csv,4,547adfbe52529e640d465670a46e22bf14b6f2fdde574d3b8b6f62be0b50a43d,<T5BC_SCRATCH>/06_EVAL/v3/BY2__F04__R5SIGMA__SEQUENCE/FROZEN_EVALUATOR,NOT_APPLICABLE
BY2,UNAVAILABLE,F04,F04,B3,SENSITIVITY_OUTSIDE_FROZEN_CHAIN,evaluator_contract_v3,COMPLETED,NONE,real_raw,False,False,2.224712790192665,2.301255427649219,-0.029341185901114,0.0378972257408754,-0.029627612146653,0.035764683643905,<CLEAN_ROOT>/stages/CLEAN7_HEXT_EXTERNAL_SEQUENCES/08_AGGREGATE/HORIZONTAL_TABLE_V3_THREE_SEQUENCES.csv,4,37afc091fd23d7f592b76e9b611842306382652a743d4a6a9850cae587995ac8,<T5BC_SCRATCH>/06_EVAL/v3/BY2__F04__B3__SEQUENCE/FROZEN_EVALUATOR,Two rotation directions; rotation about the baseline axis unobservable
