map_id,algorithmic_operation,paper_reference,official_cpp_reference,historical_matlab_reference,classification,official_behavior,full_IJRR2020_target_disposition
M001,state_group_representation,"IJRR2020 Sec. 5.1 and Eq. 6: X in SE_{N+2}(3)","RobotState.cpp:22-36,97-143","RIEKF.m:265-295",EXACT,"Dynamic matrix X stores R,v,p and appended contact/landmark columns; covariance dimension is 3*dimX+dimTheta-6","Retain dynamic SE_{N+2}(3) state with only current point contacts"
M002,euclidean_bias_augmentation,"IJRR2020 Eqs. 22-23","RobotState.cpp:22-36,115-125","RIEKF.m:280-295",EXACT,"Six-vector Theta stores gyro then accelerometer bias outside X","Retain [b_g,b_a] in R6 and document state ordering"
M003,SO3_exponential,"IJRR2020 App. A Eqs. 48-50 and App. B","LieGroup.cpp:20,31-40","RIEKF.m:375-378",NUMERICAL_APPROXIMATION,"Rodrigues closed form is algebraically equivalent for norm(w)>=1e-10; for norm(w)<1e-10 the implementation returns identity and drops the nonzero first-order term","Replace the hard identity branch with stable Gamma0 series evaluation and test continuity across 1e-10"
M004,SEK3_exponential,"IJRR2020 App. B Eqs. 62-64","LieGroup.cpp:20,42-69","RIEKF.m:304-311",NUMERICAL_APPROXIMATION,"Closed-form SO3 plus left-Jacobian translation columns is algebraically equivalent for norm(w)>=1e-10; below 1e-10 it sets both R and J_l to identity","Retain the closed form away from zero; use stable series for Gamma0/Gamma1 and cross-check against a matrix exponential"
M005,group_logarithm,"IJRR2020 App. B","No Log function in include/LieGroup.h or src/LieGroup.cpp","No dedicated log function",ABSENT,"The shipped runtime correction needs Exp but not Log","Implement only if later diagnostics or gauge tests require it; do not claim an official Log implementation"
M006,SEK3_adjoint,"IJRR2020 Eq. 7 and App. B Eq. 65","LieGroup.cpp:71-81","RIEKF.m:313-322",EXACT,"Block-diagonal R with skew(p_i)R first-column blocks","Retain with numerical conjugation identity tests"
M007,gravity_model,"IJRR2020 Eqs. 8 and 24","InEKF.cpp:43-52,139-143","RIEKF.m private constant g=[0;0;-9.81]",EXACT,"Fixed g=[0,0,-9.81] in the algorithm world frame","Keep world-up algorithm convention; BY2 sensor/body/reporting transforms remain a separate contract"
M008,bias_subtraction,"IJRR2020 Eq. 24","InEKF.cpp:125-143","RIEKF.m:367-378",EXACT,"Subtracts current b_g and b_a before propagation","Retain"
M009,orientation_mean_propagation,"IJRR2020 Eq. 50 rotation row","InEKF.cpp:139-148","RIEKF.m:375-378",EXACT,"R_{k+1}=R_k Exp((omega-b_g)dt)","Retain as Gamma0"
M010,velocity_and_position_mean_propagation,"IJRR2020 Eq. 50 velocity and position rows","InEKF.cpp:139-148","RIEKF.m:375-378",NUMERICAL_APPROXIMATION,"Uses frozen R_k acceleration for Euler velocity and constant-acceleration position; omits Gamma1 and Gamma2 coupling during nonzero angular motion","Implement Eq. 50 with stable Gamma1/Gamma2"
