source,location,zero_condition,operation_after_detection,equivalence_scope,match_to_yin_2023,decision,provenance
Yin 2023,"Eqs.10-11 and RKF gain","Eq.11 high branch sets bar_A(tilde_V_i)=0; its middle uses Latin w(tilde_V_i), distinct from Eq.10 Greek omega","same overloaded bar_A symbol is self-referential; subsequent gain requires bar_A_k^-1",NONE_DIRECT,"Exact source but mapping and inverse operation are undefined for |tilde_V_i|>=k1",SINGULAR_PATH,PAPER_DIRECT_PLUS_DERIVED_BOUNDARY
Y4A conventional split,Eq.11 candidate,"author-response-backed Eq.10 weighting value reaches zero in Eq.11 Latin w","bar_A_equivalent_i=A_base_i*w(tilde_V_i) with A_base_i=R_i^-1",DIAGONAL_OR_COMPONENT_CANDIDATE,"Not paper-direct and not selected; glyphs remain distinct",POLICY_CANDIDATE,PAPER_DERIVED_POLICY_BASELINE
Official peer-review author response,Response 10,"says Eq.10 weighting function enters Eq.11","connects the value semantics without equating Greek omega and Latin w; says inverse equivalent weight is observation covariance; no row deletion, infinite variance, pseudoinverse, or fallback","Semantic relation only","Direct author clarification does not close operation or base/equivalent mapping",DOES_NOT_CLOSE,PAPER_DIRECT_TRANSPORT_CAPTURE
Knight 2009,inline citation at Yin Eq.10,"IGGIII family source chain","accessible metadata and author upload do not uniquely specify Yin's Kalman zero operation","Source-chain context only","Inline citation does not select an executable zero policy",CANDIDATE_NOT_UNIQUE,CITED_SOURCE_ACCESS_BOUNDARY
Yang-Cheng-Shum-Tapley 1999,author-upload equations,"upper-band static weight is zero","robust-estimation observation receives zero static weight; no unique Yin Kalman inverse operation","Robust-estimation static-weight context","Direct IGGIII source differs in exponent and does not close Yin's filter operation",CANDIDATE_NOT_UNIQUE,CITED_SOURCE_CANDIDATE
Yang-Song-Xu 2002,author-upload equations,"one bifactor component becomes zero","zero factor eliminates the static observation under its correlated robust-estimation construction","Symmetric bifactor construction only","Executable cited candidate not explicitly adopted by Yin",CANDIDATE_NOT_UNIQUE,CITED_SOURCE_CANDIDATE
Yang 1994,official and request-only endpoints,"dependent-observation source inaccessible","operation could not be inspected","None","Cannot close Yin's policy",SOURCE_UNAVAILABLE_FOR_EQUATIONS,CITED_SOURCE_ACCESS_BOUNDARY
Niu 2022,Eq.21,"eta_ii=infinity in upper band and text says discard","Inflate covariance; paper states measurement should be discarded","Diagonal/inflation semantics in Niu context","Cited candidate; different exponent/covariance construction",CANDIDATE_NOT_UNIQUE,CITED_SOURCE_CANDIDATE
TCRTKINS Fusion.cpp,lines317-389,"mark upper-band factor -1","Delete corresponding innovation and H rows and R rows/columns before update","Exact row omission in ref39 code","Official code for Niu not Yin",CANDIDATE_NOT_UNIQUE,OFFICIAL_CODE_FOR_CITED_SOURCE
CN117647251A,robust-filter claims,"zero upper-band weight","No unique executable inverse policy","Changed four-dimensional method",POST_PUBLICATION_RELATED_NOT_EXACT,DOES_NOT_CLOSE,AUTHOR_INSTITUTION_POST_PUBLICATION_RELATED_PRIMARY
Algebraic positive limit,Y4A deterministic oracle,"the derived Eq.11 Latin-w weighting value approaches zero from the positive side","variance tends to infinity","Equals row omission for a diagonal component under stated limit","Not a source statement",POLICY_CANDIDATE,PAPER_DERIVED
Correlated limit,Y4A deterministic oracle,"one component weight approaches zero","result depends on matrix inflation path","Not generally equal to deletion without a specified construction","Not a source statement",NON_EQUIVALENCE_PROOF,PAPER_DERIVED
