dataset,case_id,family,seed,go2_mode,source_aware_policy,row_status_detected,resume_action,reason,last_modified
BY3,BY3_H_dual_yaw_noise_004,yaw_noise,3,G03_GO2_READINESS_ONLY,SA04_N6B_POLICY,PARTIAL_OR_CORRUPTED,RERUN_PARTIAL_OR_CORRUPTED,evaluation_summary_missing_or_zero,2026-06-14T23:51:39
BY3,BY3_H_dual_yaw_noise_004,yaw_noise,3,G04_GO2_RP_HVEL,SA04_N6B_POLICY,PARTIAL_OR_CORRUPTED,RERUN_PARTIAL_OR_CORRUPTED,evaluation_summary_missing_or_zero,2026-06-14T23:51:43
BY3,BY3_H_dual_yaw_noise_004,yaw_noise,3,G05_GO2_FULL_AUX,SA04_N6B_POLICY,PARTIAL_OR_CORRUPTED,RERUN_PARTIAL_OR_CORRUPTED,EVAL_NAV_missing_or_zero;LegSA_PORT_NAV_missing_or_zero;LegSA_PORT_STD_missing_or_zero;RUN_MANIFEST_missing_or_zero;evaluation_summary_missing_or_zero,2026-06-14T23:50:50
BY3,BY3_H_dual_yaw_noise_005,yaw_noise,4,G00_NO_GO2,SA04_N6B_POLICY,PARTIAL_OR_CORRUPTED,RERUN_PARTIAL_OR_CORRUPTED,EVAL_NAV_missing_or_zero;LegSA_PORT_NAV_missing_or_zero;LegSA_PORT_STD_missing_or_zero;RUN_MANIFEST_missing_or_zero;evaluation_summary_missing_or_zero,2026-06-14T23:50:59
BY3,BY3_H_dual_yaw_noise_005,yaw_noise,4,G01_GO2_RP_ONLY,SA04_N6B_POLICY,PARTIAL_OR_CORRUPTED,RERUN_PARTIAL_OR_CORRUPTED,EVAL_NAV_missing_or_zero;LegSA_PORT_NAV_missing_or_zero;LegSA_PORT_STD_missing_or_zero;RUN_MANIFEST_missing_or_zero;evaluation_summary_missing_or_zero,2026-06-14T23:51:00
BY3,BY3_H_dual_yaw_noise_005,yaw_noise,4,G02_GO2_HVEL_ONLY,SA04_N6B_POLICY,PARTIAL_OR_CORRUPTED,RERUN_PARTIAL_OR_CORRUPTED,EVAL_NAV_missing_or_zero;LegSA_PORT_NAV_missing_or_zero;LegSA_PORT_STD_missing_or_zero;RUN_MANIFEST_missing_or_zero;evaluation_summary_missing_or_zero,2026-06-14T23:51:02
BY3,BY3_H_dual_yaw_noise_005,yaw_noise,4,G03_GO2_READINESS_ONLY,SA04_N6B_POLICY,PARTIAL_OR_CORRUPTED,RERUN_PARTIAL_OR_CORRUPTED,EVAL_NAV_missing_or_zero;LegSA_PORT_NAV_missing_or_zero;LegSA_PORT_STD_missing_or_zero;RUN_MANIFEST_missing_or_zero;evaluation_summary_missing_or_zero,2026-06-14T23:51:17
BY3,BY3_H_dual_yaw_noise_005,yaw_noise,4,G04_GO2_RP_HVEL,SA04_N6B_POLICY,PARTIAL_OR_CORRUPTED,RERUN_PARTIAL_OR_CORRUPTED,EVAL_NAV_missing_or_zero;LegSA_PORT_NAV_missing_or_zero;LegSA_PORT_STD_missing_or_zero;RUN_MANIFEST_missing_or_zero;evaluation_summary_missing_or_zero,2026-06-14T23:51:20
BY3,BY3_H_dual_yaw_noise_005,yaw_noise,4,G05_GO2_FULL_AUX,SA04_N6B_POLICY,MISSING_OUTPUT_DIR,RERUN_MISSING_ONLY,planned output directory missing,
BY3,BY3_H_dual_yaw_noise_006,yaw_noise,5,G00_NO_GO2,SA04_N6B_POLICY,MISSING_OUTPUT_DIR,RERUN_MISSING_ONLY,planned output directory missing,
