dataset,case_id,family,seed,case_dir,go2_mode,source_aware_policy,runtime_attempted,row_status,returncode,config_hash,input_hash,trace_used_online,receiver_imu_as_body,go2_position_as_truth,go2_yaw_as_truth,final_v23_output_solver_input,legsa_output_solver_input,no_per_case_tuning,output_hash,go2_roll_pitch_update_count,go2_horizontal_velocity_update_count,go2_readiness_metadata_count,go2_vertical_velocity_prior_enabled,yaw_metric_status,position_rmse_h,position_rmse_3d,up_rmse,velocity_rmse,roll_rmse,pitch_rmse,yaw_rmse,epoch_count,time_start,time_end,source_aware_trace_rows,source_reject_count,source_downweight_count,blocked_reason
BY2,A_outage_10s,outage,,A_outage_10s,G00_NO_GO2,SA04_N6B_POLICY,True,COMPLETED_EVALUABLE,0.0,f7b3bb5855965325a8abab968c5f49c2e103aee9aea53930ae2956183cf99cff,ad8ed1c2972064d2b19afe1f0a9b5c11d4ac8ea4805fd3a32034d9b522d5404e,False,False,False,False,False,False,True,a2d83d9422affb58848f0f8356d7b15652ad9725c171c4a138acb1493b539e50,0.0,0.0,0.0,False,official,0.5685510687151203,1.2308185870228034,1.0916336731814866,,1.0243294310908446,1.5259650332937376,2.05153523170175,56643.0,66.0,339.997055769,1050.0,0.0,810.0,
BY2,A_outage_10s,outage,,A_outage_10s,G01_GO2_RP_ONLY,SA04_N6B_POLICY,True,COMPLETED_EVALUABLE,0.0,639d8ae48ba25c4e355636931f540dd5a0bd1e6d83bc3b42141225de0dbeb16e,ad8ed1c2972064d2b19afe1f0a9b5c11d4ac8ea4805fd3a32034d9b522d5404e,False,False,False,False,False,False,True,25ba80e0ead8c084a573527970fe78e5cacb0f4b61bb8eb9e108b62b1aab8e51,264.0,0.0,0.0,False,official,0.5686039521994243,1.2308354040387433,1.091625090119502,,1.0195250825941529,1.5252758081545743,2.04619841829608,56643.0,66.0,339.997055769,1314.0,0.0,1073.0,
BY2,A_outage_10s,outage,,A_outage_10s,G02_GO2_HVEL_ONLY,SA04_N6B_POLICY,True,COMPLETED_EVALUABLE,0.0,23ea8f40274a5a5c83436131cc9da83d191144c0e4bdb812e3c614c2af8c3035,ad8ed1c2972064d2b19afe1f0a9b5c11d4ac8ea4805fd3a32034d9b522d5404e,False,False,False,False,False,False,True,60df17a7c9680dca7ea09d313cac671d05c28621930beca3d42bd371801459f2,0.0,264.0,0.0,False,official,0.5685197406506928,1.2308050851142929,1.0916347658597496,,1.0243116597490505,1.525911773335665,2.051171187617772,56643.0,66.0,339.997055769,1314.0,0.0,1074.0,
BY2,A_outage_10s,outage,,A_outage_10s,G03_GO2_READINESS_ONLY,SA04_N6B_POLICY,False,BLOCKED_WITH_PROOF,,b1d26c64ff3a2d29b378cdcf5d62f7b33f487342cfee3f82d601329d734dc6c3,ad8ed1c2972064d2b19afe1f0a9b5c11d4ac8ea4805fd3a32034d9b522d5404e,False,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,CODE_NOT_SUPPORTED_FIRST_CLASS_READINESS_METADATA
BY2,A_outage_10s,outage,,A_outage_10s,G04_GO2_RP_HVEL,SA04_N6B_POLICY,True,COMPLETED_EVALUABLE,0.0,95703ef5496d85c2a47d3c827698391760088245e1b99a2399f3ade6f2a6d342,ad8ed1c2972064d2b19afe1f0a9b5c11d4ac8ea4805fd3a32034d9b522d5404e,False,False,False,False,False,False,True,4f0461c7e7ee1bc8ac5c1153a9eb35d33c4812e5660be1aed80ff7702d9a46f1,264.0,264.0,0.0,False,official,0.5685726011386883,1.2308219283684203,1.091626225677517,,1.0195091225873696,1.5252382974792489,2.0458869783229847,56643.0,66.0,339.997055769,1578.0,0.0,1337.0,
BY2,A_outage_10s,outage,,A_outage_10s,G05_GO2_FULL_AUX,SA04_N6B_POLICY,False,BLOCKED_WITH_PROOF,,d1f8cc41af9fbc2dd501c8363365c0ad79bf27febfa3044f99b32049ad4d922a,ad8ed1c2972064d2b19afe1f0a9b5c11d4ac8ea4805fd3a32034d9b522d5404e,False,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,CODE_NOT_SUPPORTED_FIRST_CLASS_READINESS_METADATA
BY2,A_outage_20s,outage,,A_outage_20s,G00_NO_GO2,SA04_N6B_POLICY,True,COMPLETED_EVALUABLE,0.0,3ab89bbc1c24d379ae3c7f78f2af88a575071ea244aace07497c3406b07bf1eb,a13357e13eed8b958c4d6d7564786aea0171afaefba99e5c22ef1ed54b0b2d30,False,False,False,False,False,False,True,7f4d556cf53a3e7d48336b7649849191db494ec6b4b11e8dbe5b32a515b35b21,0.0,0.0,0.0,False,official,3.480803171218428,3.707073628845795,1.275305521402487,,1.0231725660497837,1.512605454834083,1.9375437385524168,56643.0,66.0,339.997055769,1009.0,0.0,774.0,
BY2,A_outage_20s,outage,,A_outage_20s,G01_GO2_RP_ONLY,SA04_N6B_POLICY,True,COMPLETED_EVALUABLE,0.0,d40718e593ec4eb4770e4418d86130898e0e88a90a32cf8691c737d849717f97,a13357e13eed8b958c4d6d7564786aea0171afaefba99e5c22ef1ed54b0b2d30,False,False,False,False,False,False,True,0b8f1c0567ac8e1bfbaa2218fcd421542ecad50783731f1a33c8bfe1e8f0f387,254.0,0.0,0.0,False,official,3.4811774753100293,3.707431766109088,1.2753249333988723,,1.018405829701443,1.5119045679578695,1.9308809804739,56643.0,66.0,339.997055769,1263.0,0.0,1027.0,
BY2,A_outage_20s,outage,,A_outage_20s,G02_GO2_HVEL_ONLY,SA04_N6B_POLICY,True,COMPLETED_EVALUABLE,0.0,1d8c601fc70d274fca509d9d192f31fcac68b778be54ce191368e774fd7059e4,a13357e13eed8b958c4d6d7564786aea0171afaefba99e5c22ef1ed54b0b2d30,False,False,False,False,False,False,True,4277cb07b5e99e2ad10334d3e1fcaa8d878d81bc9973cad412a5bdb847768044,0.0,254.0,0.0,False,official,3.480542532934962,3.706830724727209,1.2753108241571238,,1.0231548694565091,1.5125564311135742,1.9373785500753264,56643.0,66.0,339.997055769,1263.0,0.0,1027.0,
BY2,A_outage_20s,outage,,A_outage_20s,G03_GO2_READINESS_ONLY,SA04_N6B_POLICY,False,BLOCKED_WITH_PROOF,,36dbb9dbe1deca17d40d8791b8eb4364963f794d40b1a2e668703c2d2418e0e1,a13357e13eed8b958c4d6d7564786aea0171afaefba99e5c22ef1ed54b0b2d30,False,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,CODE_NOT_SUPPORTED_FIRST_CLASS_READINESS_METADATA
