stage_or_input,path,exists,role,row_count
PAPER4A_C_EXPORT,/mnt/c/Users/ykw/Desktop/LegSA-GINS/suanfahengxiangduibi/PAPER4A_WRITE_READY_EVIDENCE_PACKAGE_AND_CONTEXT_SYNC,True,required,
PAPER4B_R2,/home/kaiwen/LegSA-GINS_WSL_PREFLIGHT/PAPER4B_R2_PHYSICAL_FRAME_CLOSE_AND_YAW_REEVALUATION,True,required,
PAPER4C,/home/kaiwen/LegSA-GINS_WSL_PREFLIGHT/PAPER4C_BASELINE_VECTOR_YAW_SEMANTICS_REPAIR_AND_REEVALUATION,True,required,
PAPER4D,/home/kaiwen/LegSA-GINS_WSL_PREFLIGHT/PAPER4D_TRACE_REFERENCE_YAW_FRAME_AND_STATUS_RELPOS_AUDIT,True,required,
PAPER4E,/home/kaiwen/LegSA-GINS_WSL_PREFLIGHT/PAPER4E_FIXPOSITION_OUTPUT_ROTATION_AND_MESSAGE_SEMANTICS_CLOSURE,True,required,
PAPER4F_R2_WSL,/home/kaiwen/LegSA-GINS_WSL_PREFLIGHT/PAPER4F_R2_USER_DECLARED_MINIMAL_EXPORT_YAW_POLICY_REEVALUATION,True,required,
PAPER4F_R2_C_EXPORT,/mnt/c/Users/ykw/Desktop/LegSA-GINS/suanfahengxiangduibi/PAPER4F_R2_USER_DECLARED_MINIMAL_EXPORT_YAW_POLICY_REEVALUATION,True,required,
PAPER3G,/home/kaiwen/LegSA-GINS_WSL_PREFLIGHT/PAPER3G_LAMBDA_MLAMBDA_CLAMBDA_BACKEND_AND_MULTIGNSS_DDLOS_REPAIR,True,required,
PAPER3H,/home/kaiwen/LegSA-GINS_WSL_PREFLIGHT/PAPER3H_MULTIGNSS_DDLOS_AND_FOURTH_LAYER_REPAIR,True,required,
PAPER3I,/home/kaiwen/LegSA-GINS_WSL_PREFLIGHT/PAPER3I_PHYSICAL_YAW_SATPOS_IEKF_EQKF_INTERNAL_JOIN,True,required,
PAPER2A,/home/kaiwen/LegSA-GINS_WSL_PREFLIGHT/PAPER2A_TRUE_GNSS_INS_QA_FULL_MATRIX,False,required_if_present,
PAPER4F_R2_ROW_LEVEL,/mnt/c/Users/ykw/Desktop/LegSA-GINS/suanfahengxiangduibi/PAPER4F_R2_USER_DECLARED_MINIMAL_EXPORT_YAW_POLICY_REEVALUATION/PAPER4F_R2_BODY_YAW_REEVALUATION_ROW_LEVEL.csv,True,mandatory_file,2160.0
PAPER4F_R2_SUMMARY_BY_METHOD,/mnt/c/Users/ykw/Desktop/LegSA-GINS/suanfahengxiangduibi/PAPER4F_R2_USER_DECLARED_MINIMAL_EXPORT_YAW_POLICY_REEVALUATION/PAPER4F_R2_BODY_YAW_SUMMARY_BY_METHOD.csv,True,mandatory_file,18.0
PAPER4F_R2_METHOD_SEMANTICS,/mnt/c/Users/ykw/Desktop/LegSA-GINS/suanfahengxiangduibi/PAPER4F_R2_USER_DECLARED_MINIMAL_EXPORT_YAW_POLICY_REEVALUATION/PAPER4F_R2_METHOD_SEMANTICS_DECISION.csv,True,mandatory_file,21.0
USER_DECLARED_MINIMAL_EXPORT_YAW_POLICY,/mnt/c/Users/ykw/Desktop/LegSA-GINS/suanfahengxiangduibi/PAPER4F_R2_USER_DECLARED_MINIMAL_EXPORT_YAW_POLICY_REEVALUATION/USER_DECLARED_MINIMAL_EXPORT_YAW_POLICY.yaml,True,mandatory_file,
PAPER4D_TRACE_DECISION,/home/kaiwen/LegSA-GINS_WSL_PREFLIGHT/PAPER4D_TRACE_REFERENCE_YAW_FRAME_AND_STATUS_RELPOS_AUDIT/PAPER4D_TRACE_YAW_REFERENCE_DECISION.yaml,True,mandatory_file,
PAPER4E_TRACE_DECISION,/home/kaiwen/LegSA-GINS_WSL_PREFLIGHT/PAPER4E_FIXPOSITION_OUTPUT_ROTATION_AND_MESSAGE_SEMANTICS_CLOSURE/PAPER4E_TRACE_YAW_REFERENCE_DECISION.yaml,True,mandatory_file,
FRAME_POLICY_ACCEPTED,/home/kaiwen/LegSA-GINS_WSL_PREFLIGHT/PAPER4B_R2_PHYSICAL_FRAME_CLOSE_AND_YAW_REEVALUATION/05_frame_policy_decision/FRAME_POLICY_ACCEPTED.yaml,True,mandatory_file,
