gap_id,gap_title,official_evidence,paper_target_or_contract,classification,scientific_effect,required_future_implementation,required_future_tests,H0_H2_effect
G001,mean_velocity_position_discretization,"invariant-ekf InEKF.cpp:139-148","IJRR2020 Eq. 50 Gamma1/Gamma2 exact zero-order-hold mean propagation",NUMERICAL_APPROXIMATION,"Nonzero angular motion is integrated with frozen R_k in v and p","Implement stable Gamma1 and Gamma2 including small-angle series","Random-state comparison with high-accuracy ODE integration; zero-rate closed forms; continuity around small-angle threshold",NONBLOCKING_PLAN_ONLY
G002,state_transition_discretization,"invariant-ekf InEKF.cpp:175-181 has Phi=I+A*dt","IJRR2020 Eqs. 58 or 60 analytical world-centric right-invariant transition",NUMERICAL_APPROXIMATION,"First-order transition is not the full IJRR2020 analytical-discretization target","Implement Eq. 58 blocks or Eq. 60 adjoint/expm identity using the Eq. 50 propagated state","Compare against numerical variational-equation integration and finite-difference invariant errors; Phi(dt=0)=I; small-dt convergence to I+A*dt",NONBLOCKING_MANDATORY_LATER_REPAIR
G003,discrete_process_noise_mapping,"invariant-ekf InEKF.cpp:178-184","IJRR2020 Eqs. 51-53; article-result approximation Eq. 61 with analytical Phi",NUMERICAL_APPROXIMATION,"Official Qd_hat inherits first-order Phi and an implicit noise-frame convention","First reproduce Eq. 61 with analytical Phi and declared Qbar_k; only call an exact integral a separately verified enhancement","PSD/symmetry; dt scaling; Monte Carlo covariance; comparison with fine quadrature or Van Loan where time-invariant; no silent exact-Qd claim",NONBLOCKING_MANDATORY_LATER_REPAIR
G004,analytical_discretization_identity_scope,"README cites RSS2018 and InEKF.cpp retains first-order TODO","IJRR2020 Appendix A full mean and transition discretization",PARTIAL,"Unmodified pinned C++ is an official early/RSS implementation reference and cannot be called a full IJRR2020 implementation","Create a separately tested IJRR2020 propagation backend while retaining an official-code-faithful regression backend","Backend identity manifest; official example regression on early backend; analytical tests on 2020 backend",NONBLOCKING_IDENTITY_LABEL_REQUIRED
G005,anisotropic_contact_process_noise_frame,"invariant-ekf InEKF.cpp:165-181 has one global Qc and no h_R input during Propagate","IJRR2020 Eqs. 8-9 and 28 include h_R Sigma_v h_R^T",PARTIAL,"Isotropic Qc is rotation invariant; anisotropic contact-frame covariance cannot be represented faithfully without an explicit frame conversion","Declare Qc frame and map per-contact h_R covariance before world adjoint mapping","Anisotropic rotated-covariance unit test; isotropic invariance test; per-contact block-index test",NONBLOCKING_FOR_ISOTROPIC_DECLARED_MODEL
G006,group_logarithm,"No Log declaration in LieGroup.h and no implementation in LieGroup.cpp","IJRR2020 Appendix B provides useful Lie-group expressions",ABSENT,"Core filter execution does not require Log; later gauge diagnostics may","Implement only if required by diagnostics and label as project code rather than pinned official code","Exp-Log round trip over random SE_K(3) states and near-zero rotations",NONBLOCKING
G007,kalman_innovation_linear_algebra,"invariant-ekf InEKF.cpp:195-199 explicitly computes S.inverse()","Same Kalman gain algebra in IJRR2020 Eqs. 19-20 and 29",ALGEBRAICALLY_EQUIVALENT,"Explicit inversion is less numerically robust than solving the symmetric system","Use LDLT/LLT solve with failure checks without changing the equation identity","Ill-conditioned positive-definite S regression; equivalence on well-conditioned cases; failure-path test",NONBLOCKING_NUMERICAL_HARDENING
G008,covariance_symmetry_enforcement,"No explicit P=(P+P^T)/2 after propagation/correction","PSD-preserving covariance behavior",PARTIAL,"Joseph update preserves PSD algebraically but floating-point asymmetry remains; official kinematics final residual is 2.2456264278658544e-12","Add only a declared numerical symmetrization/tolerance policy if later implementation requires it","Symmetry and minimum-eigenvalue gates after propagation update augmentation and removal",NONBLOCKING_OBSERVED_FINITE_PSD
G009,left_invariant_and_robo_centric_variants,"No selectable paths in pinned C++","IJRR2020 Secs. 10-11 and Tables 2-3",ABSENT,"Pinned C++ does not implement the article's full variant catalog","Do not implement for selected LSE01 identity unless separately authorized","Identity test must fail if left-invariant or robo-centric is selected under LSE01",NONBLOCKING_NOT_SELECTED
G010,historical_matlab_contact_switching,"RIEKF.m:265-295 and 380-384 always retain right and left foot columns; RIEKF.m:422 inflates swing noise","IJRR2020 Sec. 8 switching contact addition/removal",PARTIAL,"Historical MATLAB is an independent early-equation cross-check but not a switching-dimension reference","Use C++ Sec. 8 lifecycle as primary official reference","Static audit test records fixed-two-foot limitation; never claim MATLAB lifecycle equivalence",NONBLOCKING_HISTORICAL_ONLY
