symbol,paper_equation,paper_wording,dimension,unit,source_definition,candidate_interpretations,selected_interpretation,selection_evidence,remaining_ambiguity,provenance,formal_gate_effect
L_k,Eq.8,"The L_k is the observation vector",3x1,m,"Author response repeats observation-vector wording","Alias of Z_k; distinct contaminated observation; preprocessed observation",NONE_UNRESOLVED,"Neither paper nor author response states L_k=Z_k","Exact relationship to Z_k and preprocessing",PAPER_DIRECT_PLUS_AUTHOR_RESPONSE,L_k_versus_Z_k_closed_FALSE
Z_k,"Eqs.2,6 and RKF update","measurement vector; [delta r_N delta r_E delta r_D]^T",3x1,m,"Position-only measurement vector closed in Y0-Y3","Three-dimensional position residual",POSITION_ONLY_3D_MEASUREMENT,"Printed Z definition and peer-response Point 7","Relation to L_k and bar_V_k versus V_hat_k remains unresolved",PAPER_DIRECT,L_k_versus_Z_k_closed_FALSE
V_hat_k,Eq.8,"innovation vector; V_hat_k=L_k-H_k Xhat_(k/k-1)",3x1,m,"Eq.8 and author response identify the hatted innovation","Innovation from L_k; relation to bar_V_k",LITERAL_EQ8_FORMULA_ONLY,"Paper and author response define Eq.8 but never relate hat and bar residuals","L/Z relation; V_hat_k/bar_V_k relation; preprocessing",PAPER_DIRECT_PLUS_AUTHOR_RESPONSE,standardized_residual_unique_FALSE
bar_V_k,"Eqs.6 and 9","barred residual; bar_V_k=H_k Xhat_k-Z_k; Eq.9 uses bar_V_k throughout",3x1,m,"Rendered v2 p.6 and official HTML transport preserve the bar glyph","Eq.6 residual; Eq.9 objective residual; possible relation to V_hat_k",LITERAL_BAR_RESIDUAL_WITH_STAGE_UNRESOLVED,"Exact rendered equations and author response","Xhat_k stage and any relation to V_hat_k",PAPER_DIRECT_PLUS_AUTHOR_RESPONSE,AKF_statistic_update_unique_FALSE
Delta_X_tilde_k,Eq.6,"sqrt((bar_V_k^T bar_V_k)/tr(P_(bar_V_k)))",scalar,UNRESOLVED,"P_(bar_V_k)=Phi_k P_(Xhat_(k-1)) Phi^T+Q_k; right Phi has no explicit k","Literal state-trace statistic; innovation-covariance trace; measurement-covariance trace; normalized innovation",NONE_MULTIPLE_PLAUSIBLE_COMPLETIONS,"Rendered VOR/v2 and HTML preserve the exact equation; related patent uses measurement-vector covariance","Dimension; units; normalization; zero/nonfinite handling",PAPER_DIRECT_PLUS_POST_PUBLICATION_CONFLICT,AKF_statistic_update_unique_FALSE
e_V_i,Eqs.10-11,"paper glyph tilde V_i is the standardized residual",scalar,DIMENSIONLESS_INTENDED,"e_V_i is this registry's ASCII label for paper glyph tilde V_i","R_ii scale; S_ii scale; whitening; robust global scale",NONE_UNRESOLVED,"Author response names it but gives no formula; Niu S_ii is only a cited candidate","Numerator; centering; denominator; covariance stage; relation to V_hat_k or bar_V_k",PAPER_DIRECT_PLUS_CITED_CANDIDATE,standardized_residual_unique_FALSE
bar_A_k,Eq.9,"equivalent weight matrix in the first bar_V_k^T bar_A_k bar_V_k term",3x3,m^-2,"Eq.9 objective matrix for barred residual","Nominal R^-1; equivalent robust information; correlated bifactor information",LITERAL_EQ9_MATRIX_ONLY,"Printed Eq.9","Definition and relationship to Eq.11 overloaded function",PAPER_DIRECT,IGGIII_matrix_construction_unique_FALSE
bar_A_(Xhat_k),Eq.9,"state-associated weight matrix in alpha_k bar_V_k^T bar_A_(Xhat_k) bar_V_k",3x3_OR_UNRESOLVED,UNRESOLVED,"Second Eq.9 objective matrix is not defined elsewhere","State-error weight; predicted covariance information; typographical matrix",NONE_UNRESOLVED,"Printed Eq.9 contains the symbol; no source definition found","Dimension; units; construction; relationship to bar_A_k",PAPER_DIRECT_OMISSION,IGGIII_matrix_construction_unique_FALSE
bar_A(tilde_V_i),Eq.11,"same overloaded/self-referential symbol appears on the left and low/middle right branches; prose also states bar_A(tilde_V_i)=R_i^-1",SCALAR_OR_3x3_UNRESOLVED,m^-2,"Author response calls it equivalent weight and does not distinguish base/equivalent symbols","Literal self-reference; conventional base/equivalent split; diagonal or correlated matrix",NONE_UNRESOLVED,"Rendered p.7 and official HTML line155 preserve the same symbol","Base versus equivalent identity; scalar mapping; matrix assembly; zero-domain inverse",PAPER_DIRECT_SELF_REFERENCE_PLUS_DERIVED_CANDIDATES,IGGIII_matrix_construction_unique_FALSE
w(tilde_V_i),Eq.11,"LATIN SMALL LETTER W multiplier w(tilde_V_i) appears in the middle branch; it is a different printed glyph from Eq.10 Greek omega",scalar,DIMENSIONLESS_INTENDED,"Official peer-review author response says the Eq.10 weighting function enters Eq.11","Latin w is semantically the Eq.10 weighting function at this branch; Latin w is not a glyph alias for Greek omega",AUTHOR_RESPONSE_BACKED_WEIGHTING_FUNCTION_RELATION_WITH_GLYPH_DISTINCTION,"Rendered p.7 preserves Latin w; author response states Eq.10 weighting function enters Eq.11","The relation does not define a distinct base/equivalent information split or matrix assembly",PAPER_DIRECT_GLYPH_PLUS_AUTHOR_RESPONSE_SEMANTIC_RELATION,IGGIII_matrix_construction_unique_FALSE
R_i,Eq.11,"prose says bar_A(tilde_V_i)=R_i^-1",SCALAR_COMPONENT_OR_MATRIX_UNRESOLVED,m^2,"Observation-noise covariance component in overloaded Eq.11 wording","Axis variance; diagonal covariance; row/column of correlated covariance",LITERAL_PROSE_IDENTITY_ONLY,"Paper prose and author response identify inverse equivalent weight as observation covariance","How the self-referential piecewise equation modifies R_i^-1",PAPER_DIRECT,IGGIII_matrix_construction_unique_FALSE
Omega,Eq.9,"Omega=bar_V_k^T bar_A_k bar_V_k+alpha_k bar_V_k^T bar_A_(Xhat_k) bar_V_k=min",scalar,DIMENSIONLESS_OR_UNRESOLVED,"Robust objective uses barred residual twice","Scalar objective; constrained criterion",LITERAL_EQ9_OBJECTIVE_ONLY,"Rendered Eq.9","Undefined bar_A_(Xhat_k) and no relation to V_hat_k",PAPER_DIRECT,standardized_residual_unique_FALSE
alpha_k,Eq.7,"adaptive factor is 1 when |Delta_X_tilde_k|<=k and k/|Delta_X_tilde_k| otherwise",scalar,UNRESOLVED_BECAUSE_STATISTIC_UNIT_UNRESOLVED,"Two-stage adaptive factor with experiment k=1; absolute-value glyph is paper-direct","Literal factor from printed statistic; factors from alternative coherent statistics",LITERAL_PIECEWISE_MAP_ONLY,"Eq.7 and gain/posterior bullets are explicit; nonnegative-sqrt equivalence is only PAPER_DERIVED","Input statistic remains non-unique",PAPER_DIRECT_PLUS_DERIVED_EQUIVALENCE,AKF_statistic_update_unique_FALSE
v/omega,"Legacy OCR and prompt aliases for the Eqs.12-14 fusion factor","v is an OCR/ASCII approximation of varpi; legacy prompt text called it omega",scalar,DIMENSIONLESS,"Compatibility aliases only; the paper fusion symbol is U+03D6 varpi, never U+03C9 omega","v maps to varpi; legacy omega label is deprecated and must not relabel the paper glyph",LEGACY_ALIAS_TO_VARPI_ONLY,"Rendered paper glyph audit distinguishes U+03D6 from Eq.10 U+03C9","Alias may be accepted at input boundaries only; canonical contracts use varpi",PAPER_DERIVED_COMPATIBILITY_ALIAS,RAEKF_fusion_reset_unique_FALSE
ω (omega),Eq.10,"U+03C9 omega is the per-component IGGIII scalar factor",scalar,DIMENSIONLESS,"omega_i is 1 inlier, cubic middle-band weight, and zero at/above effective k1 boundary","Paper-direct scalar factor; ASCII omega_i; distinct printed glyph from Eq.11 Latin w",PAPER_COMPONENT_IGGIII_FACTOR,"Rendered Eq.10 distinguishes Greek omega from Eq.11 Latin w and Eqs.12-14 varpi","Eq.11 does not uniquely map the scalar factor into equivalent information",PAPER_DIRECT,IGGIII_matrix_construction_unique_FALSE
ϖ (varpi),Eqs.12-14,"U+03D6 GREEK PI SYMBOL varpi is the RAEKF branch-fusion factor",scalar,DIMENSIONLESS,"varpi=0.85 when |Delta_X_tilde_k|<=c and 0.15 otherwise","Printed convex branch-fusion policy",PAPER_FUSION_FACTOR,"Rendered equation glyph and Eq.14 absolute-value condition","Activation inherits non-unique Delta_X_tilde_k",PAPER_DIRECT,RAEKF_fusion_reset_unique_FALSE
c,Eq.14,"constant c=1.0",scalar,UNRESOLVED_BECAUSE_STATISTIC_UNIT_UNRESOLVED,"Threshold for robust-adaptive fusion factor","Literal threshold applied to printed statistic",PRINTED_1_0,"Eq.14 experiment value","Operational statistic remains non-unique",PAPER_DIRECT,RAEKF_fusion_reset_unique_FALSE
k,Eq.7,"constant generally 1.0-1.5; experiment k=1.0",scalar,UNRESOLVED_BECAUSE_STATISTIC_UNIT_UNRESOLVED,"Threshold for adaptive factor","Literal threshold applied to printed statistic",PRINTED_1_0,"Eq.7 experiment value","Operational statistic remains non-unique",PAPER_DIRECT,AKF_statistic_update_unique_FALSE
k0,Eq.10,"lower IGGIII constant; experiment k0=1.15",scalar,DIMENSIONLESS_INTENDED,"Lower threshold for standardized residual","Printed scalar threshold",PRINTED_1_15,"Eq.10 experiment text","Standardized residual itself remains undefined",PAPER_DIRECT,standardized_residual_unique_FALSE
k1,Eq.10,"upper IGGIII constant; experiment k1=4.45",scalar,DIMENSIONLESS_INTENDED,"Upper threshold; middle formula is inclusive and evaluates zero at equality","Printed upper branch >k1; operational zero/inverse-singular domain begins at >=k1",PRINTED_4_45,"Eq.10 piecewise formula and direct substitution at equality","Exact rejection operation and Eq.11 mapping for zero information",PAPER_DIRECT,zero_weight_policy_unique_FALSE
V_k,NOT_A_PAPER_DIRECT_SYMBOL,"Compatibility/errata spelling only; maps to canonical bar_V_k and explicitly NOT to V_hat_k",3x1,m,"Non-paper-direct compatibility row requested for prior shorthand","bar_V_k; NOT V_hat_k",COMPATIBILITY_ALIAS_TO_bar_V_k_NOT_V_hat_k,"Canonical rendered equations use bar_V_k in Eqs.6/9 and V_hat_k in Eq.8","Compatibility spelling carries no independent paper semantics",PAPER_DERIVED_COMPATIBILITY_ERRATA,standardized_residual_unique_FALSE
A_k,NOT_A_PAPER_DIRECT_SYMBOL,"Compatibility/errata spelling only; maps to canonical bar_A_k",3x3,m^-2,"Non-paper-direct compatibility row requested for prior shorthand",bar_A_k,COMPATIBILITY_ALIAS_TO_bar_A_k,"Canonical rendered Eq.9 uses bar_A_k","Compatibility spelling carries no independent paper semantics",PAPER_DERIVED_COMPATIBILITY_ERRATA,IGGIII_matrix_construction_unique_FALSE
A(e_V_i),NOT_A_PAPER_DIRECT_SYMBOL,"Compatibility/errata spelling only; maps to canonical bar_A(tilde_V_i)",SCALAR_OR_3x3_UNRESOLVED,m^-2,"Non-paper-direct compatibility row requested for prior shorthand",bar_A(tilde_V_i),COMPATIBILITY_ALIAS_TO_bar_A(tilde_V_i),"Canonical rendered Eq.11 uses bar_A(tilde_V_i)","Compatibility spelling does not resolve the self-referential base/equivalent mapping",PAPER_DERIVED_COMPATIBILITY_ERRATA,IGGIII_matrix_construction_unique_FALSE
