figure,paper_page,category,title,visual_review,implementation_or_experiment_semantics,provenance,closure_status,current_evidence_role
1,3,METHOD,STCKF structure,VISUALLY_INSPECTED_RENDERED_PAGE,"CKF prediction; innovation-driven STF modifies predictive covariance; observation update follows",PAPER_DIRECT,CLOSED_ARCHITECTURE,METHOD_CONTRACT
2,4,METHOD,FL controller principles,VISUALLY_INSPECTED_RENDERED_PAGE,"parallel velocity and position chi-square inputs produce beta1 and beta2 then Lambda",PAPER_DIRECT,PARTIAL_NO_AGGREGATION_FORMULA,METHOD_CONTRACT
3,6,METHOD,central and noncentral chi-square PDFs,VISUALLY_INSPECTED_RENDERED_PAGE,"threshold markers T11=10 T12=30 T21=10 T22=20 and representative alpha values",PAPER_DIRECT,CLOSED_PLOTTED_THRESHOLDS,METHOD_PARAMETER_PROVENANCE
4,6,METHOD,membership functions,VISUALLY_INSPECTED_RENDERED_PAGE,"piecewise plotted small medium large memberships for L1 and L2; L2-medium apex at 15 is one",PAPER_DIRECT,CLOSED_VISUAL_MEMBERSHIP_PIECES,METHOD_PARAMETER_PROVENANCE
5,7,METHOD,overall FSTCKF flow,VISUALLY_INSPECTED_RENDERED_PAGE,"predict; compute e/Pzz/L; fuzzy beta; Eq12/15 fading; observation update",PAPER_DIRECT,PARTIAL_DEPENDS_ON_UNRESOLVED_EQ12_AND_TS,METHOD_CONTRACT
6,8,PAPER_EXPERIMENT,simulated aircraft trajectory and speed,VISUALLY_INSPECTED_RENDERED_PAGE,"case setup trajectory and time-varying speed",PAPER_DIRECT,FROZEN_VISUAL_REVIEW,PAPER_CLAIM_CONTEXT_ONLY_NO_ACTIVE_PERFORMANCE_EVIDENCE
7,9,PAPER_EXPERIMENT,case-1 velocity and position tracking errors,VISUALLY_INSPECTED_RENDERED_PAGE,"paper comparison curves for various dynamics",PAPER_DIRECT,FROZEN_VISUAL_REVIEW,PAPER_CLAIM_CONTEXT_ONLY_NO_ACTIVE_PERFORMANCE_EVIDENCE
8,9,PAPER_EXPERIMENT,case-1 fuzzy inputs and outputs,VISUALLY_INSPECTED_RENDERED_PAGE,"paper L_k1/L_k2 and beta_k1/beta_k2 behavior",PAPER_DIRECT,FROZEN_VISUAL_REVIEW,PAPER_CLAIM_CONTEXT_ONLY_NO_ACTIVE_PERFORMANCE_EVIDENCE
9,10,PAPER_EXPERIMENT,case-2 tracking errors under Q mismatch,VISUALLY_INSPECTED_RENDERED_PAGE,"paper curves with practical Q ten times nominal",PAPER_DIRECT,FROZEN_VISUAL_REVIEW,PAPER_CLAIM_CONTEXT_ONLY_NO_ACTIVE_PERFORMANCE_EVIDENCE
10,11,PAPER_EXPERIMENT,case-2 fuzzy inputs and outputs,VISUALLY_INSPECTED_RENDERED_PAGE,"paper controller behavior under Q mismatch",PAPER_DIRECT,FROZEN_VISUAL_REVIEW,PAPER_CLAIM_CONTEXT_ONLY_NO_ACTIVE_PERFORMANCE_EVIDENCE
11,11,PAPER_EXPERIMENT,case-3 tracking errors under accelerometer-bias mismatch,VISUALLY_INSPECTED_RENDERED_PAGE,"paper curves with practical accelerometer bias ten times nominal",PAPER_DIRECT,FROZEN_VISUAL_REVIEW,PAPER_CLAIM_CONTEXT_ONLY_NO_ACTIVE_PERFORMANCE_EVIDENCE
12,13,PAPER_EXPERIMENT,case-3 fuzzy inputs and outputs,VISUALLY_INSPECTED_RENDERED_PAGE,"paper controller behavior under accelerometer-bias mismatch",PAPER_DIRECT,FROZEN_VISUAL_REVIEW,PAPER_CLAIM_CONTEXT_ONLY_NO_ACTIVE_PERFORMANCE_EVIDENCE
13,13,PAPER_EXPERIMENT,real flight trajectory and speed,VISUALLY_INSPECTED_RENDERED_PAGE,"Barton flight-data test setup",PAPER_DIRECT,FROZEN_VISUAL_REVIEW,PAPER_CLAIM_CONTEXT_ONLY_NO_ACTIVE_PERFORMANCE_EVIDENCE
14,14,PAPER_EXPERIMENT,real flight velocity and position tracking errors,VISUALLY_INSPECTED_RENDERED_PAGE,"paper real-data comparison curves",PAPER_DIRECT,FROZEN_VISUAL_REVIEW,PAPER_CLAIM_CONTEXT_ONLY_NO_ACTIVE_PERFORMANCE_EVIDENCE
