artifact_id,artifact_type,data_mode,paper_page,experiment_scope,content,review_status,provenance,current_evidence_role
FIGURE_06,FIGURE,SYNTHETIC_PAPER_EXPERIMENT,8,SIM_CASE1,trajectory and time-varying speed,FULLY_VISUALLY_REVIEWED,PAPER_DIRECT,PAPER_CLAIM_CONTEXT_ONLY_NO_ACTIVE_PERFORMANCE_EVIDENCE
FIGURE_07,FIGURE,SYNTHETIC_PAPER_EXPERIMENT,9,SIM_CASE1,velocity and position tracking-error curves,FULLY_VISUALLY_REVIEWED,PAPER_DIRECT,PAPER_CLAIM_CONTEXT_ONLY_NO_ACTIVE_PERFORMANCE_EVIDENCE
FIGURE_08,FIGURE,SYNTHETIC_PAPER_EXPERIMENT,9,SIM_CASE1,fuzzy-controller inputs and outputs,FULLY_VISUALLY_REVIEWED,PAPER_DIRECT,PAPER_CLAIM_CONTEXT_ONLY_NO_ACTIVE_PERFORMANCE_EVIDENCE
FIGURE_09,FIGURE,SYNTHETIC_PAPER_EXPERIMENT,10,SIM_CASE2,Q-mismatch tracking-error curves,FULLY_VISUALLY_REVIEWED,PAPER_DIRECT,PAPER_CLAIM_CONTEXT_ONLY_NO_ACTIVE_PERFORMANCE_EVIDENCE
FIGURE_10,FIGURE,SYNTHETIC_PAPER_EXPERIMENT,11,SIM_CASE2,Q-mismatch controller inputs and outputs,FULLY_VISUALLY_REVIEWED,PAPER_DIRECT,PAPER_CLAIM_CONTEXT_ONLY_NO_ACTIVE_PERFORMANCE_EVIDENCE
FIGURE_11,FIGURE,SYNTHETIC_PAPER_EXPERIMENT,11,SIM_CASE3,accelerometer-bias-mismatch tracking-error curves,FULLY_VISUALLY_REVIEWED,PAPER_DIRECT,PAPER_CLAIM_CONTEXT_ONLY_NO_ACTIVE_PERFORMANCE_EVIDENCE
FIGURE_12,FIGURE,SYNTHETIC_PAPER_EXPERIMENT,13,SIM_CASE3,accelerometer-bias-mismatch controller inputs and outputs,FULLY_VISUALLY_REVIEWED,PAPER_DIRECT,PAPER_CLAIM_CONTEXT_ONLY_NO_ACTIVE_PERFORMANCE_EVIDENCE
FIGURE_13,FIGURE,REAL_EXTERNAL_PAPER_DATA,13,REAL_FLIGHT_PAPER_TEST,flight trajectory and speed,FULLY_VISUALLY_REVIEWED,PAPER_DIRECT,PAPER_CLAIM_CONTEXT_ONLY_NO_ACTIVE_PERFORMANCE_EVIDENCE
FIGURE_14,FIGURE,REAL_EXTERNAL_PAPER_DATA,14,REAL_FLIGHT_PAPER_TEST,velocity and position tracking-error curves,FULLY_VISUALLY_REVIEWED,PAPER_DIRECT,PAPER_CLAIM_CONTEXT_ONLY_NO_ACTIVE_PERFORMANCE_EVIDENCE
TABLE_01,TABLE,SYNTHETIC_PAPER_EXPERIMENT,8,SIM_SETUP,initial aircraft state parameters,FULLY_VISUALLY_REVIEWED,PAPER_DIRECT,PAPER_PARAMETER_PROVENANCE_ONLY
TABLE_02,TABLE,SYNTHETIC_PAPER_EXPERIMENT,8,SIM_SETUP,time-varying aircraft motion schedule,FULLY_VISUALLY_REVIEWED,PAPER_DIRECT,PAPER_PARAMETER_PROVENANCE_ONLY
TABLE_03,TABLE,SYNTHETIC_PAPER_EXPERIMENT,8,SIM_SETUP,INS and GNSS rates and noise parameters,FULLY_VISUALLY_REVIEWED,PAPER_DIRECT,PAPER_PARAMETER_PROVENANCE_ONLY
TABLE_04,TABLE,SYNTHETIC_PAPER_EXPERIMENT,9,SIM_CASE1,paper RMSE comparison,FULLY_VISUALLY_REVIEWED,PAPER_DIRECT,PAPER_CLAIM_CONTEXT_ONLY_NO_ACTIVE_PERFORMANCE_EVIDENCE
TABLE_05,TABLE,SYNTHETIC_PAPER_EXPERIMENT,10,SIM_CASE2,paper RMSE comparison under Q mismatch,FULLY_VISUALLY_REVIEWED,PAPER_DIRECT,PAPER_CLAIM_CONTEXT_ONLY_NO_ACTIVE_PERFORMANCE_EVIDENCE
TABLE_06,TABLE,SYNTHETIC_PAPER_EXPERIMENT,11,SIM_CASE3,paper RMSE comparison under accelerometer-bias mismatch,FULLY_VISUALLY_REVIEWED,PAPER_DIRECT,PAPER_CLAIM_CONTEXT_ONLY_NO_ACTIVE_PERFORMANCE_EVIDENCE
TABLE_07,TABLE,REAL_EXTERNAL_PAPER_DATA,12,REAL_FLIGHT_PAPER_TEST,paper directional and total RMSE comparison,FULLY_VISUALLY_REVIEWED,PAPER_DIRECT,PAPER_CLAIM_CONTEXT_ONLY_NO_ACTIVE_PERFORMANCE_EVIDENCE
