dimension,LC01_PAVLASEK2021_TWO_RECEIVER_IEKF,LC02A_JIANG2021_ADAPTIVE_FADING_CKF,LC02B_TAGHIZADEH2023_AHINF_CKF,LC02C_GINAV2021_OFFICIAL_SPP_INS_LC,identity_basis
paper_identity,Pavlasek-Walsh-Forbes ICRA 2021,Jiang-Zhang-Li-Li GPS Solutions 2021,Taghizadeh-Safabakhsh Journal of Navigation 2023,Chen-Chang-Chen GPS Solutions 2021,ATTRIBUTED_SOURCE_IDENTITY
published_family_identity,TWO_RECEIVER_INVARIANT_IEKF,ADAPTIVE_FACTOR_AND_FADING_FACTOR_CKF_PUBLISHED_FAMILY_ONLY,ADAPTIVE_H_INFINITY_CKF_PUBLISHED_FAMILY_ONLY,OFFICIAL_STANDARD_SPP_INS_LC,NON_DUPLICATION_FAMILY_IDENTITY_ONLY
official_implementation,ACTIVE_FAITHFUL_PROJECT_METHOD,NO_ATTRIBUTABLE_IMPLEMENTATION_FOUND,NO_ATTRIBUTABLE_IMPLEMENTATION_FOUND,OFFICIAL_GINAV_PINNED_COMMIT_AND_CONTROLLING_TREE,SOURCE_AVAILABILITY_NOT_PERFORMANCE
system_input_layer,TWO_RECEIVER_SOLUTION_POSITIONS,NOT_EVALUATED_SOURCE_UNAVAILABLE,NOT_EVALUATED_SOURCE_UNAVAILABLE,RINEX_OBS_NAV_TO_INTERNAL_SPP_PLUS_IMU,SENSORS_AND_INFORMATION_SOURCE
number_GNSS_receivers,2,NOT_EVALUATED_SOURCE_UNAVAILABLE,NOT_EVALUATED_SOURCE_UNAVAILABLE,1,NUMBER_GNSS_RECEIVERS
GNSS_information_entering_fusion,TWO_RECEIVER_SOLUTION_POSITIONS_AND_RIGID_RELATIVE_VECTOR,NOT_EVALUATED_SOURCE_UNAVAILABLE,NOT_EVALUATED_SOURCE_UNAVAILABLE,INTERNAL_SPP_POSITION_VELOCITY_AND_COVARIANCE,GNSS_INFORMATION_ENTERING_FUSION
direct_P2_MINUS_P1_geometry,YES_DIRECT_RIGID_P2_MINUS_P1_VECTOR,NOT_EVALUATED_SOURCE_UNAVAILABLE,NOT_EVALUATED_SOURCE_UNAVAILABLE,NONE,DIRECT_P2_MINUS_P1_GEOMETRY
state_error_representation,NINE_STATE_INVARIANT_ERROR_REPRESENTATION,NOT_EVALUATED_SOURCE_UNAVAILABLE,NOT_EVALUATED_SOURCE_UNAVAILABLE,FIFTEEN_STATE_CONVENTIONAL_ERROR_STATE_REPRESENTATION,STATE_AND_ERROR_REPRESENTATION
filter_family,INVARIANT_EXTENDED_KALMAN_FILTER,NOT_EVALUATED_SOURCE_UNAVAILABLE,NOT_EVALUATED_SOURCE_UNAVAILABLE,CONVENTIONAL_ERROR_STATE_KALMAN_FILTER_LC,FILTER_FAMILY
direct_heading_information,DIRECT_RIGID_BASELINE_ATTITUDE_INFORMATION_NOT_SCALAR_YAW,NOT_EVALUATED_SOURCE_UNAVAILABLE,NOT_EVALUATED_SOURCE_UNAVAILABLE,NONE_POSITION_VELOCITY_LC_ONLY,DIRECT_HEADING_INFORMATION
robust_adaptive_mechanism,NO_ADAPTIVE_ROBUST_FADING_OR_HINF_MECHANISM,NOT_EVALUATED_SOURCE_UNAVAILABLE,NOT_EVALUATED_SOURCE_UNAVAILABLE,OFFICIAL_SOURCE_DEFINED_IGG3_ROBUST_PATH,ROBUST_OR_ADAPTIVE_MECHANISM
native_output,ACTIVE_LC01_NAVIGATION_STATE_OUTPUT,NOT_EVALUATED_SOURCE_UNAVAILABLE,NOT_EVALUATED_SOURCE_UNAVAILABLE,OFFICIAL_GINAV_POSITION_VELOCITY_ATTITUDE_AND_COVARIANCE_SOLUTION,NATIVE_OUTPUT
failure_modes,FROZEN_ACTIVE_LC01_VALIDITY_AND_UPDATE_FAILURE_CONTRACT,NOT_EVALUATED_SOURCE_UNAVAILABLE,NOT_EVALUATED_SOURCE_UNAVAILABLE,SOURCE_DEFINED_ALIGNMENT_GNSS_VALIDITY_AND_LC_UPDATE_BRANCHES,FAILURE_MODES
initialization_source,LC01_FROZEN_CONTRACT,NOT_EVALUATED_SOURCE_UNAVAILABLE,NOT_EVALUATED_SOURCE_UNAVAILABLE,OFFICIAL_TDCP_MOTION_ALIGNMENT,INITIALIZATION
BY2_adapter_count,LC01_FROZEN_CONTRACT,NOT_EVALUATED_SOURCE_UNAVAILABLE,NOT_EVALUATED_SOURCE_UNAVAILABLE,TWO_SOURCE_EXPLICIT_ADAPTER_CLASSES_RINEX_AND_IMU,ADAPTER_REQUIREMENT
formal_source_closure,COMPLETED_ACTIVE_METHOD,NO_GO_SOURCE_UNAVAILABLE,NO_GO_SOURCE_UNAVAILABLE,ALL_STATIC_GATES_PASS_OFFICIAL_ROUTE,SOURCE_CLOSURE
performance_used_for_identity,NO,NO,NO,NO,PROHIBITED
