dimension,LC01_PAVLASEK2021_TWO_RECEIVER_IEKF,LC02_CHANG2021_FSTCKF,identity_effect,evidence_role
paper_identity,"Pavlasek Walsh Forbes ICRA 2021","Chang Wang Shen Ji GPS Solutions 2021",different_external_papers,FROZEN_LC01_AND_CURRENT_CHANG_SOURCE
online_IMU,one_body_IMU,one_body_IMU,shared_sensor_class_not_method_duplication,FROZEN_LC01_AND_CURRENT_CHANG_SOURCE
online_GNSS_receivers,2,1,different_information_count,FROZEN_LC01_AND_CURRENT_CHANG_SOURCE
GNSS_solution_fields,"two receiver positions","one receiver position plus velocity",different_measurement_structure,FROZEN_LC01_AND_CURRENT_CHANG_SOURCE
direct_rigid_baseline,"P2-P1 full relative vector",none,LC01_has_direct_geometric_attitude_information,FROZEN_LC01_AND_CURRENT_CHANG_SOURCE
filter_representation,invariant_extended_KF,conventional_linear_error_state_KF_with_strong_tracking,different_filter_geometry,FROZEN_LC01_AND_CURRENT_CHANG_SOURCE
error_state_dimension,9,15,different_state_model,FROZEN_LC01_AND_CURRENT_CHANG_SOURCE
state_order,"attitude velocity position","attitude velocity position gyro_error accelerometer_error",different_calibration_states,FROZEN_LC01_AND_CURRENT_CHANG_SOURCE
measurement_dimension,"paper two-receiver extended-pose measurement",6,different_measurement_dimension,FROZEN_LC01_AND_CURRENT_CHANG_SOURCE
observability_source,two_receiver_rigid_geometry,single_receiver_velocity_position_updates,different_observability_information,FROZEN_LC01_AND_CURRENT_CHANG_SOURCE
adaptive_robust_mechanism,none_of_Chang_fuzzy_STF,"chi-square fuzzy beta and multiple fading factors",different_adaptation_mechanism,FROZEN_LC01_AND_CURRENT_CHANG_SOURCE
quality_inputs,position_receiver_covariance_model,innovation_history_and_fixed_paper_parameters,different_quality_path,FROZEN_LC01_AND_CURRENT_CHANG_SOURCE
primary_failure_mode,"baseline geometry or receiver availability","model mismatch plus unresolved fading semantics",different_failure_modes,FROZEN_LC01_AND_CURRENT_CHANG_SOURCE
formal_status,active_completed,formal_NO_GO,status_does_not_change_structural_distinctness,FROZEN_LC01_AND_CURRENT_CHANG_SOURCE
