stage_id,source_report,source_table,claim_topic,evidence_summary,data_scope,method_or_dataset,status,paper_use,main_text_allowed,appendix_allowed,diagnostic_only,blocked_with_proof,forbidden_claim_risk,required_citations_or_sources,notes
PAPER1F,<PAPER2B_STAGE_ROOT>/PAPER2B_SUPERVISOR_FINAL_REPORT.md,<PAPER1F_STAGE_ROOT>/PAPER1F_ROW_LEVEL_MASTER_TABLE.csv,dual antenna adapter matrix,"PAPER2B reports PAPER1F had 3523 planned rows, 2168 completed epoch-output rows, 1355 completed dual-antenna adapter rows, and 1355 internal-baseline rows blocked.",BY2 and stress datasets,dual-antenna heading-aided adapters,DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY,false,false,true,false,exact reproduction; five faithful algorithms,<PAPER2B_SUPERVISOR_FINAL_REPORT>,Direct PAPER1F path not found in PAPER4A search; use through PAPER2B only.
PAPER1F,<PAPER2B_STAGE_ROOT>/PAPER2B_SUPERVISOR_FINAL_REPORT.md,<PAPER1F_STAGE_ROOT>/PAPER1F_METHOD_RUNTIME_PROOF_TABLE.csv,internal baseline rows,"PAPER2B reports final_v23, LegSA_full, LegSA_QA, single_antenna, and pure_INS were blocked in PAPER1F for final main comparison.",PAPER1F baseline matrix,internal baselines,BLOCKED_WITH_PROOF,BLOCKED_WITH_PROOF,false,false,false,true,same-evaluator superiority,<PAPER2B_SUPERVISOR_FINAL_REPORT>,Do not use PAPER1F for main-text superiority bars.
PAPER2A,<PAPER2A_STAGE_ROOT>/PAPER2A_SUPERVISOR_FINAL_REPORT.md,<PAPER2A_STAGE_ROOT>/PAPER2A_METHOD_SELECTION_TABLE.csv,quality management protocol,"Seven recognized GNSS/INS QA methods completed BY2 840/840, BY3 497/497, and XB 560/560; trace_used_online=false and receiver_imu_data_as_body_imu=false.",BY2 BY3 XB,QA01-QA07,MAIN_TEXT_ALLOWED,MAIN_TEXT_ALLOWED,true,false,false,false,exact external QA system reproduction,<PAPER2A_SUPERVISOR_FINAL_REPORT>; <PAPER2A_METHOD_SELECTION_TABLE>,Use for quality-aware measurement management behavior and coverage, not superiority.
PAPER2A,<PAPER2A_STAGE_ROOT>/PAPER2A_SUPERVISOR_FINAL_REPORT.md,<PAPER2A_STAGE_ROOT>/PAPER2A_ROW_LEVEL_MASTER_TABLE.csv,row-level QA behavior,"1897 completed evaluable rows with QA decisions and eval metrics; method-specific values are common-backend QA-wrapper evidence.",BY2 BY3 XB,QA01-QA07,APPENDIX_ALLOWED,APPENDIX_ALLOWED,false,true,false,false,performance superiority; exact external systems,<PAPER2A_ROW_LEVEL_MASTER_TABLE>,Appendix table material; diagnostic details may support limitations.
PAPER2B,<PAPER2B_STAGE_ROOT>/PAPER2B_SUPERVISOR_FINAL_REPORT.md,<PAPER2B_STAGE_ROOT>/PAPER2B_METHOD_CLASSIFICATION_MASTER.csv,consolidated claim boundary,"PAPER2B safely consolidated PAPER1F/PAPER2A and recorded forbidden claims and missing evidence.",PAPER1F PAPER2A,context consolidation,MAIN_TEXT_ALLOWED,MAIN_TEXT_ALLOWED,true,false,false,false,claim-boundary drift,<PAPER2B_SUPERVISOR_FINAL_REPORT>,Use as input-stage provenance for PAPER4A.
PAPER3A,<PAPER3A_STAGE_ROOT>/PAPER3A_SUPERVISOR_FINAL_REPORT.md,<PAPER3A_STAGE_ROOT>/PAPER3A_METHOD_SELECTION_AND_CLASSIFICATION.csv,literature module matrix,"BY2 planned 1440, completed 720, blocked 720; six module/reduced methods completed but faithful exact reproductions=0.",BY2 BY3 XB,dual-antenna literature modules,APPENDIX_ALLOWED,APPENDIX_ALLOWED,false,true,false,false,exact reproduction; five faithful full algorithms,<PAPER3A_SUPERVISOR_FINAL_REPORT>,Use as early PDF-grounded native/proxy/backend-level implementation evidence only.
PAPER3A,<PAPER3A_STAGE_ROOT>/PAPER3A_SUPERVISOR_FINAL_REPORT.md,<PAPER3A_PROVIDER_CAPABILITY_MATRIX.csv,raw provider preflight,"Provider status was RAWX common epoch without LOS/DD design matrix or C-LAMBDA/MLAMBDA backend.",BY2 BY3 XB,provider preflight,DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY,false,false,true,false,provider overclaim,<PAPER3A_SUPERVISOR_FINAL_REPORT>,Only show as provider evolution start point.
PAPER3A_R1,<PAPER3A_R1_STAGE_ROOT>/PAPER3A_R1_SUPERVISOR_FINAL_REPORT.md,<PAPER3A_R1_STAGE_ROOT>/PAPER3A_R1_ROW_LEVEL_FRAME_REEVAL_SUMMARY.csv,yaw frame reevaluation,"PAPER3A yaw metrics require corrected reevaluation and are invalid for yaw claims; RTKLIB moving-base yaw/attitude blocked.",BY2 BY3 XB,yaw frame and RTKLIB,BLOCKED_WITH_PROOF,BLOCKED_WITH_PROOF,false,false,false,true,body-yaw RMSE; yaw superiority,<PAPER3A_R1_SUPERVISOR_FINAL_REPORT>,Use as physical frame gap proof.
PAPER3B,<PAPER3B_STAGE_ROOT>/PAPER3B_SUPERVISOR_FINAL_REPORT.md,<PAPER3B_STAGE_ROOT>/12_joined_evidence_tables/PAPER3B_JOINED_MAIN_COMPARISON_TABLE.csv,joined position and protocol evidence,"PAPER3B joined 4454 evidence rows and 360 internal baseline rows; main-text boundary is position-only/internal/QA/provider/protocol evidence with no yaw claim.",BY2 plus BY3/XB stress,joined evidence,MAIN_TEXT_ALLOWED,MAIN_TEXT_ALLOWED,true,false,false,false,yaw claim; same-evaluator superiority,<PAPER3B_SUPERVISOR_FINAL_REPORT>,Use for method/evidence classification matrix.
PAPER3B,<PAPER3B_STAGE_ROOT>/PAPER3B_SUPERVISOR_FINAL_REPORT.md,<PAPER3B_STAGE_ROOT>/12_joined_evidence_tables/PAPER3B_BLOCKED_WITH_PROOF.csv,physical closure,"Final status FAIL_FRAME_CLOSURE_NOT_MET; yaw_frame_status=NOT_PHYSICALLY_CLOSED.",BY2 dual antenna,yaw frame,BLOCKED_WITH_PROOF,BLOCKED_WITH_PROOF,false,false,false,true,body-yaw RMSE,<PAPER3B_SUPERVISOR_FINAL_REPORT>,Blocks body-yaw and frame-dependent figures.
