map_id,paper_reference,mathematical_operation,backend_identity,code_path,code_symbol,additional_code_symbols,implementation_role,validation_target,identity_boundary
M001,IJRR_Appendix_A,so3_exp_log,ALL_THREE_REGISTERED_BACKENDS,src/legsa_gins/paper_rebuild/horizontal_literature/hartley_inekf/src/backend.cpp,expSO3,logSO3,STABLE_SO3_EXP_LOG,LIE_GROUP_TEST_SUMMARY.json,NO_HARD_IDENTITY_BRANCH
M002,IJRR_Appendix_A,gamma_0_1_2,HARTLEY_IJRR2020_REPORTED_BACKEND_AND_EXACT_QD_REFERENCE_DIAGNOSTIC,src/legsa_gins/paper_rebuild/horizontal_literature/hartley_inekf/src/backend.cpp,gamma0,gamma1;gamma2,EQ50_ROTATION_VELOCITY_POSITION_INTEGRALS,LIE_GROUP_TEST_SUMMARY.json,SHARED_MEAN_PRIMITIVE
M003,IJRR_Eqs_57_60,psi_1_2,HARTLEY_IJRR2020_REPORTED_BACKEND_AND_EXACT_QD_REFERENCE_DIAGNOSTIC,src/legsa_gins/paper_rebuild/horizontal_literature/hartley_inekf/src/backend.cpp,psi1,psi2,ANALYTICAL_GYRO_BIAS_COUPLING_PRIMITIVES,LIE_GROUP_TEST_SUMMARY.json,SHARED_PHI_PRIMITIVE
M004,IJRR_Section_3,sek3_exp_log_adjoint,ALL_THREE_REGISTERED_BACKENDS,src/legsa_gins/paper_rebuild/horizontal_literature/hartley_inekf/src/backend.cpp,expSEK3,logSEK3;adjointSEK3,RESTRICTED_SE_K_3_GROUP_OPERATIONS,LIE_GROUP_TEST_SUMMARY.json,RIGHT_INVARIANT_WORLD_CENTRIC_ONLY
M005,IJRR_Eq_50,eq50_exact_mean,HARTLEY_IJRR2020_REPORTED_BACKEND_AND_EXACT_QD_REFERENCE_DIAGNOSTIC,src/legsa_gins/paper_rebuild/horizontal_literature/hartley_inekf/src/backend.cpp,HartleyInEkf::exactMeanStep,gamma0;gamma1;gamma2,EXACT_ZERO_ORDER_HELD_DETERMINISTIC_MEAN,EXACT_MEAN_VALIDATION.csv,NOT_OFFICIAL_FROZEN_R_APPROXIMATION
M006,IJRR_Eqs_28_51_59,continuous_A_L_Qc,ALL_THREE_REGISTERED_BACKENDS,src/legsa_gins/paper_rebuild/horizontal_literature/hartley_inekf/src/backend.cpp,HartleyInEkf::continuousA,HartleyInEkf::continuousL;HartleyInEkf::continuousQc,EXPOSED_CONTINUOUS_ERROR_AND_NOISE_IDENTITIES,GO2_ALLAN_PROFILE_DIMENSIONAL_VALIDATION.csv,DENSITY_SQUARED_ONCE_NO_SQRT_DT_PREPROCESSING
M007,IJRR_Eqs_58_60,analytical_right_invariant_phi,HARTLEY_IJRR2020_REPORTED_BACKEND_AND_EXACT_QD_REFERENCE_DIAGNOSTIC,src/legsa_gins/paper_rebuild/horizontal_literature/hartley_inekf/src/backend.cpp,HartleyInEkf::analyticalPhi,HartleyInEkf::analyticalPhiEq60;gamma1;gamma2;psi1;psi2,EQ58_CLOSED_FORM_AND_EQ60_ADJOINT_MATRIX_EXPONENTIAL_CROSSCHECK,PHI_FINITE_DIFFERENCE_VALIDATION.csv,FINITE_DIFFERENCE_IN_RIGHT_INVARIANT_COORDINATES
M008,IJRR_Eq_61,eq61_process_covariance,HARTLEY_IJRR2020_REPORTED_BACKEND,src/legsa_gins/paper_rebuild/horizontal_literature/hartley_inekf/src/backend.cpp,HartleyInEkf::eq61ProcessCovariance,HartleyInEkf::continuousL;HartleyInEkf::continuousQc,PAPER_REPORTED_APPROXIMATE_DISCRETE_PROCESS_COVARIANCE,EQ61_VS_EQ52_DIAGNOSTIC.csv,PRODUCTION_NOT_EXACT_INTEGRAL
M009,IJRR_Eq_52,eq52_process_covariance_diagnostic,EXACT_QD_REFERENCE_DIAGNOSTIC,src/legsa_gins/paper_rebuild/horizontal_literature/hartley_inekf/src/backend.cpp,HartleyInEkf::eq52ProcessCovarianceGaussLegendre64,HartleyInEkf::analyticalPhi;HartleyInEkf::continuousQc,INDEPENDENT_64_POINT_GAUSS_LEGENDRE_REFERENCE,EQ61_VS_EQ52_SUMMARY.json,DIAGNOSTIC_NOT_PRODUCTION_REPLACEMENT
M010,IJRR_Eqs_20_23_29,contact_measurement_and_correction,ALL_THREE_REGISTERED_BACKENDS,src/legsa_gins/paper_rebuild/horizontal_literature/hartley_inekf/src/backend.cpp,HartleyInEkf::correctContacts,H;R;innovation;nis,STACKED_RIGHT_INVARIANT_POINT_CONTACT_JOSEPH_UPDATE,CONTACT_LIFECYCLE_VALIDATION.csv,TRANSLATION_ONLY_POINT_CONTACT
