registry_id,paper_identity,pdf_page,section,equation_or_item,operation,source_type,contract_status,selected_method_relevance,mathematical_contract,implementation_note
EQ001,IJRR2020_ARXIV1904.09251V2,7,3,Eq.1,invariant_error_definitions,PAPER_DIRECT,FROZEN,CORE,"eta_r=X_bar X^-1; eta_l=X^-1 X_bar","Selected method uses eta_r"
EQ002,IJRR2020_ARXIV1904.09251V2,7,3,Eq.2,group_affine_condition,PAPER_DIRECT,FROZEN,CORE,"f(X1X2)=f(X1)X2+X1f(X2)-X1f(I)X2","Basis for autonomous deterministic invariant error"
EQ003,IJRR2020_ARXIV1904.09251V2,7,3,Eq.3,log_linear_error,PAPER_DIRECT,FROZEN,CORE,"xi_dot=A_t xi and eta=exp(xi)","Exact deterministic result when group-affine assumptions hold"
EQ004,IJRR2020_ARXIV1904.09251V2,8,3,Eq.4,invariant_observation_forms,PAPER_DIRECT,FROZEN,CORE,"Y=Xb+V or Y=X^-1b+V","World-centric forward kinematics uses right-invariant observation form"
EQ005,IJRR2020_ARXIV1904.09251V2,10,5.1,State matrix,state_group_representation,PAPER_DIRECT,FROZEN,CORE,"X=(R,v,p,d_1...d_N) in SE_{N+2}(3)","Biases are not embedded in this Lie group"
EQ006,IJRR2020_ARXIV1904.09251V2,10,5.1,Eq.6,hat_map,PAPER_DIRECT,FROZEN,CORE,"xi=[xi_R,xi_v,xi_p,xi_d] maps to se_{N+2}(3)","Repeat one three-vector block per contact"
EQ007,IJRR2020_ARXIV1904.09251V2,11,5.1,Eq.7,adjoint,PAPER_DIRECT,FROZEN,CORE,"Ad_X has R diagonal blocks and (v)_xR;(p)_xR;(d)_xR cross blocks","Required for right-invariant process-noise mapping and gauge covariance congruence"
EQ008,IJRR2020_ARXIV1904.09251V2,11,5.2,Eq.8,continuous_state_process,PAPER_DIRECT,FROZEN,CORE,"R_dot=R(omega_tilde-w_g)_x; v_dot=R(a_tilde-w_a)+g; p_dot=v; d_dot=-R h_R w_v","Bias-free derivation"
EQ009,IJRR2020_ARXIV1904.09251V2,11,5.2,Eq.9,matrix_process_and_noise,PAPER_DIRECT,FROZEN,CORE,"X_dot=f_u(X)-X w^wedge","Contact Brownian noise is expressed through h_R(alpha_tilde)"
EQ010,IJRR2020_ARXIV1904.09251V2,11,5.2,Eq.10,right_invariant_error_dynamics,PAPER_DIRECT,FROZEN,CORE,"eta_r_dot=g_u(eta_r)+w_bar^wedge eta_r","Noise is mapped by the estimated state"
EQ011,IJRR2020_ARXIV1904.09251V2,12,5.2,Eq.11,noisy_log_linear_system,PAPER_DIRECT,FROZEN,CORE,"xi_dot=A_r xi+Ad_Xbar w","With input noise the theorem is approximate"
EQ012,IJRR2020_ARXIV1904.09251V2,12,5.2,Eqs.12-14,bias_free_A_Q_and_Riccati,PAPER_DIRECT,FROZEN,CORE,"A=[[0,0,0,0],[g_x,0,0,0],[0,I,0,0],[0,0,0,0]]; Q_bar=Ad_Xbar Cov(w) Ad_Xbar^T; P_dot=AP+PA^T+Q_bar","A is time invariant in the ideal selected right-invariant case"
EQ013,IJRR2020_ARXIV1904.09251V2,12,5.3,Eqs.15-17,encoder_and_fk_measurement,PAPER_DIRECT,FROZEN,CORE,"alpha_tilde=alpha+w_alpha; h_p(alpha_tilde)=R^T(d-p)+J_p w_alpha","Future Go2 proxy is an adaptation rather than paper-direct encoder FK"
EQ014,IJRR2020_ARXIV1904.09251V2,13,5.3,Eq.18,invariant_innovation_and_group_update,PAPER_DIRECT,FROZEN,CORE,"X_bar_plus=exp(L(X_bar Y-b))X_bar","Reduced innovation uses Pi and K"
EQ015,IJRR2020_ARXIV1904.09251V2,13,5.3,Eqs.19-20,kalman_and_joseph_update,PAPER_DIRECT,FROZEN,CORE,"H=[0,0,-I,I]; N_bar=R_bar J_p Sigma_alpha J_p^T R_bar^T; K=PH^T(HPH^T+N_bar)^-1; Joseph P_plus","Use factorized solve rather than forming an inverse"
EQ016,IJRR2020_ARXIV1904.09251V2,14,5.4,Observability Phi and O,ideal_observability,PAPER_DIRECT,FROZEN,CORE,"Phi=exp(A dt) terminates at A^2; O stacks H Phi^j","Global translation and gravity-axis rotation are unobservable"
EQ017,IJRR2020_ARXIV1904.09251V2,19,7.1,Eqs.22-23,bias_state_and_error,PAPER_DIRECT,FROZEN,CORE,"theta=[b_g;b_a]; e_r=(X_bar X^-1,theta_bar-theta)","Covariance ordering appends zeta_g and zeta_a"
EQ018,IJRR2020_ARXIV1904.09251V2,19,7.2,Eqs.24-25,bias_augmented_process,PAPER_DIRECT,FROZEN,CORE,"Subtract b_g and b_a in propagation; b_g_dot=w_bg; b_a_dot=w_ba","Brownian bias random walks"
EQ019,IJRR2020_ARXIV1904.09251V2,20,7.2,Eqs.26-28,bias_augmented_A_and_Q,PAPER_DIRECT,FROZEN,CORE,"A_r contains -R_bar bias blocks and -(v_bar)_xR_bar;-(p_bar)_xR_bar;-(d_bar)_xR_bar couplings","This is the imperfect InEKF because bias errors reintroduce estimate dependence"
EQ020,IJRR2020_ARXIV1904.09251V2,21,7.4,Eq.29,bias_augmented_update,PAPER_DIRECT,FROZEN,CORE,"Group correction uses K_xi; Euclidean bias correction uses K_zeta; covariance uses Joseph form","Selected future implementation requires both correction parts"
EQ021,IJRR2020_ARXIV1904.09251V2,21,8.1,Eq.30,contact_removal,PAPER_DIRECT,FROZEN,CORE,"Delete the contact state and use P_new=M P M^T","M is invariant-error-choice independent"
EQ022,IJRR2020_ARXIV1904.09251V2,21,8.2,Eq.31,contact_mean_augmentation,PAPER_DIRECT,FROZEN,CORE,"d_new_bar=p_bar+R_bar h_p(alpha_tilde)","Executed once on a discrete contact-on event"
EQ023,IJRR2020_ARXIV1904.09251V2,22,8.2,Eq.32,contact_covariance_augmentation,PAPER_DIRECT,FROZEN,CORE,"xi_d_new approximately xi_p+R_bar J_p w_alpha; P_new=F P F^T+G Sigma_alpha G^T","Selected method uses right-invariant F and G"
EQ024,IJRR2020_ARXIV1904.09251V2,28,10,Eqs.34-37,left_invariant_alternative,PAPER_DIRECT,EXCLUDED_VARIANT,CONTEXT,"Left-invariant A and Q; right multiplication update; P_r=Ad_X P_l Ad_X^T","Reviewed to prevent accidental formulation switching"
EQ025,IJRR2020_ARXIV1904.09251V2,29,10.2,Eq.38,left_invariant_contact_augmentation,PAPER_DIRECT,EXCLUDED_VARIANT,CONTEXT,"xi_d_new approximately xi_p-(h_p)_x xi_R+J_p w_alpha","Not valid for the selected right-invariant covariance"
EQ026,IJRR2020_ARXIV1904.09251V2,29,11,Eq.39,robo_centric_state,PAPER_DIRECT,EXCLUDED_VARIANT,CONTEXT,"Robot-centric state is the inverse world-centric state with redefined columns","Not the selected state identity"
