parameter_id,parameter,value,unit,source_type,source_identity,source_location,role,used_in_paper_experiment,eligible_for_BY2,trace_tuned,notes
P001,linear_acceleration_noise_std,0.04,m/s^2,PAPER_DIRECT,IJRR2020_ARXIV1904.09251V2,Table_1,PAPER_CASSIE_DISCRETE_NOISE,true,false,false,"Discrete standard deviation; not a continuous PSD and not a Go2 value"
P002,angular_velocity_noise_std,0.002,rad/s,PAPER_DIRECT,IJRR2020_ARXIV1904.09251V2,Table_1,PAPER_CASSIE_DISCRETE_NOISE,true,false,false,"Discrete standard deviation"
P003,accelerometer_bias_random_walk_std,0.001,m/s^3,PAPER_DIRECT,IJRR2020_ARXIV1904.09251V2,Table_1,PAPER_CASSIE_DISCRETE_NOISE,true,false,false,"IJRR table unit is bias derivative; do not silently reinterpret as m/s^2"
P004,gyroscope_bias_random_walk_std,0.001,rad/s^2,PAPER_DIRECT,IJRR2020_ARXIV1904.09251V2,Table_1,PAPER_CASSIE_DISCRETE_NOISE,true,false,false,"IJRR table unit is bias derivative"
P005,contact_linear_velocity_noise_std,0.05,m/s,PAPER_DIRECT,IJRR2020_ARXIV1904.09251V2,Table_1,PAPER_CASSIE_CONTACT_BROWNIAN_NOISE,true,false,false,"Models contact slippage as Brownian velocity noise; not an online slip detector"
P006,joint_encoder_noise_std,1.0,deg,PAPER_DIRECT,IJRR2020_ARXIV1904.09251V2,Table_1,PAPER_CASSIE_KINEMATIC_NOISE,true,false,false,"Requires J_p Sigma_alpha J_p^T; not transferable to the high-level Go2 FK-like proxy"
P007,initial_orientation_std,30.0,deg,PAPER_DIRECT,IJRR2020_ARXIV1904.09251V2,Table_1,PAPER_CASSIE_INITIAL_COVARIANCE,true,false,false,"Applied in the paper convergence comparison"
P008,initial_velocity_std,1.0,m/s,PAPER_DIRECT,IJRR2020_ARXIV1904.09251V2,Table_1,PAPER_CASSIE_INITIAL_COVARIANCE,true,false,false,"Applied per velocity component"
P009,initial_imu_position_std,0.1,m,PAPER_DIRECT,IJRR2020_ARXIV1904.09251V2,Table_1,PAPER_CASSIE_INITIAL_COVARIANCE,true,false,false,"Paper experiment setting"
P010,initial_right_foot_position_std,0.1,m,PAPER_DIRECT,IJRR2020_ARXIV1904.09251V2,Table_1,PAPER_CASSIE_INITIAL_COVARIANCE,true,false,false,"Paper experiment setting"
P011,initial_left_foot_position_std,0.1,m,PAPER_DIRECT,IJRR2020_ARXIV1904.09251V2,Table_1,PAPER_CASSIE_INITIAL_COVARIANCE,true,false,false,"Paper experiment setting"
P012,initial_gyroscope_bias_std,0.005,rad/s,PAPER_DIRECT,IJRR2020_ARXIV1904.09251V2,Table_1,PAPER_CASSIE_INITIAL_COVARIANCE,true,false,false,"Paper experiment setting"
P013,initial_accelerometer_bias_std,0.05,m/s^2,PAPER_DIRECT,IJRR2020_ARXIV1904.09251V2,Table_1,PAPER_CASSIE_INITIAL_COVARIANCE,true,false,false,"Paper experiment setting"
P014,cassie_imu_measurement_rate,800,Hz,PAPER_DIRECT,IJRR2020_ARXIV1904.09251V2,Section_9,PAPER_HARDWARE_DESCRIPTION,true,false,false,"VectorNav-100 rate; not a BY2 rate"
P015,cassie_encoder_measurement_rate,2000,Hz,PAPER_DIRECT,IJRR2020_ARXIV1904.09251V2,Section_9,PAPER_HARDWARE_DESCRIPTION,true,false,false,"Cassie encoder rate; not a BY2 rate"
P016,gravity_vector_symbol,g,world_acceleration,PAPER_DIRECT,IJRR2020_ARXIV1904.09251V2,Eqs_8_14_24_28_50,ALGORITHMIC_CONSTANT,true,true,false,"Direction defines the gravity-axis gauge; numeric magnitude and axis sign are not frozen by the paper PDF"
P017,gravity_vector_numeric,[0;0;-9.81],m/s^2,OFFICIAL_CODE,HARTLEY_CPP_EF16E8A1,src/InEKF.cpp:43-52,OFFICIAL_CPP_WORLD_UP_INSTANTIATION,false,true,false,"Paper keeps g symbolic; pinned C++ freezes negative world-z gravity; BY2 sensor/body/reporting transforms remain separate"
P018,deterministic_contact_velocity,0,m/s,PAPER_DIRECT,IJRR2020_ARXIV1904.09251V2,Section_5.2,ALGORITHMIC_ASSUMPTION,true,true,false,"Static point contact in deterministic dynamics with Brownian motion for slip"
P019,imu_zoh_model,constant_corrected_omega_and_acceleration_over_dt,NA,PAPER_DIRECT,IJRR2020_ARXIV1904.09251V2,Appendix_A,DISCRETIZATION_ASSUMPTION,true,true,false,"Required for exact Eq.50 state integration"
P020,discrete_process_noise_exact,integral_Phi_Q_PhiT,continuous_to_discrete,PAPER_DIRECT,IJRR2020_ARXIV1904.09251V2,Eq_52,FULL_IJRR_MATHEMATICAL_TARGET,false,true,false,"Selected future primary policy uses Eq.50 mean plus analytical Eq.58/60 Phi plus separately verified numerical Eq.52 integration; no exact label before verification"
P021,discrete_process_noise_reported_approx,Phi_Qbar_k_PhiT_dt,continuous_to_discrete,PAPER_DIRECT,IJRR2020_ARXIV1904.09251V2,Eq_61,PAPER_REPORTED_EQ61_REGRESSION,true,false,false,"Mandatory companion reproduces the article-reported approximation with Eq.50 mean and analytical Phi; never label Eq.61 exact"
P022,official_example_noise_defaults,"gyro=0.01;accel=0.1;gyro_bias=1e-5;accel_bias=1e-4;landmark=0.1;contact=0.1",mixed_code_native_std_inputs,OFFICIAL_CODE,HARTLEY_CPP_EF16E8A1,"src/NoiseParams.cpp:22-29;src/examples/kinematics.cpp:57-66;src/examples/landmarks.cpp:56-65",OFFICIAL_EXAMPLE_REPRODUCTION,false,false,false,"Setters square scalar standard-deviation inputs; kinematics repeats gyro/accel/bias defaults but overrides contact to 0.01; landmark example repeats gyro/accel/bias/landmark defaults"
P023,official_default_gyroscope_noise_std,0.01,code_native_std,OFFICIAL_CODE,HARTLEY_CPP_EF16E8A1,src/NoiseParams.cpp:22-23,OFFICIAL_CPP_DEFAULT,false,false,false,"Explicitly repeated by both official examples"
P024,official_default_accelerometer_noise_std,0.1,code_native_std,OFFICIAL_CODE,HARTLEY_CPP_EF16E8A1,src/NoiseParams.cpp:22-24,OFFICIAL_CPP_DEFAULT,false,false,false,"Explicitly repeated by both official examples"
