stage_id,required_input,discovery_status,primary_source,secondary_source,evidence_classification,proof_note
PAPER1F_FULL_MATRIX_EXECUTION_LOCKED,final report and row-level tables,MISSING_DIRECT_WITH_SECONDARY_PROOF,<PAPER1F_STAGE_ROOT>/PAPER1F_SUPERVISOR_FINAL_REPORT.md,<PAPER2B_STAGE_ROOT>/PAPER2B_SUPERVISOR_FINAL_REPORT.md,DIAGNOSTIC_ONLY_AND_BLOCKED_WITH_PROOF,"Direct PAPER1F file search across checked roots returned no direct path; PAPER2B final report lists PAPER1F inputs and conclusions."
PAPER2A_TRUE_GNSS_INS_QA_FULL_MATRIX_WORKTREE,supervisor final report and QA tables,FOUND,<PAPER2A_STAGE_ROOT>/PAPER2A_SUPERVISOR_FINAL_REPORT.md,<PAPER2B_STAGE_ROOT>/PAPER2B_SUPERVISOR_FINAL_REPORT.md,MAIN_TEXT_ALLOWED_FOR_QA_PROTOCOL_APPENDIX_FOR_METHOD_ROWS,"PAPER2A reports 7 recognized QA methods, BY2 840/840, BY3 497/497, XB 560/560, trace_used_online=false, receiver_imu_data_as_body_imu=false."
PAPER2B_RESULTS_CONSOLIDATION_CONTEXT_SYNC,supervisor final report and consolidated audit,FOUND,<PAPER2B_STAGE_ROOT>/PAPER2B_SUPERVISOR_FINAL_REPORT.md,<PAPER2B_STAGE_ROOT>/PAPER2B_METHOD_CLASSIFICATION_MASTER.csv,MAIN_TEXT_ALLOWED_FOR_BOUNDARY_SYNC,"PAPER2B consolidated PAPER1F/PAPER2A and committed lightweight reports without push."
PAPER3A_STAGE1_TRUE_DUAL_ANTENNA_LITERATURE_FULL_MATRIX,supervisor final report and row-level tables,FOUND,<PAPER3A_STAGE_ROOT>/PAPER3A_SUPERVISOR_FINAL_REPORT.md,<PAPER3A_STAGE_ROOT>/PAPER3A_CLAIM_BOUNDARY_TABLE.md,APPENDIX_ALLOWED_AND_DIAGNOSTIC_ONLY,"PAPER3A completed module/reduced epoch outputs but exact faithful reproductions=0 and provider lacked LOS/DD backend."
PAPER3A_R1_FRAME_REEVAL_RTKLIB_INTERNAL_JOIN,supervisor final report and frame sensitivity,FOUND,<PAPER3A_R1_STAGE_ROOT>/PAPER3A_R1_SUPERVISOR_FINAL_REPORT.md,<PAPER3A_R1_STAGE_ROOT>/PAPER3A_R1_ROW_LEVEL_FRAME_REEVAL_SUMMARY.csv,DIAGNOSTIC_ONLY_AND_BLOCKED_WITH_PROOF,"PAPER3A-R1 marks yaw metrics invalid for claims and same-evaluator BY2 comparison blocked."
PAPER3B_PHYSICAL_CLOSURE_TRUE_LIT_INTERNAL_JOIN,supervisor final report and joined tables,FOUND,<PAPER3B_STAGE_ROOT>/PAPER3B_SUPERVISOR_FINAL_REPORT.md,<PAPER3B_STAGE_ROOT>/12_joined_evidence_tables/*.csv,MAIN_TEXT_ALLOWED_FOR_POSITION_PROTOCOL_APPENDIX_FOR_MODULES,"PAPER3B joined 4454 evidence rows and 360 internal baseline rows but final status is FAIL_FRAME_CLOSURE_NOT_MET."
PAPER3D_R2_WSL_CLI_RTKLIB_REBUILD_RINEX_DDLOS,supervisor final report and provider summaries,FOUND,<PAPER3D_R2_STAGE_ROOT>/PAPER3D_R2_WSL_CLI_FINAL_REPORT.md,<PAPER3D_R2_EXPORT_ROOT>/PAPER3D_R2_PROVIDER_STATUS_SUMMARY.csv,MAIN_TEXT_ALLOWED_FOR_PROVIDER_CONSTRUCTION,"PAPER3D-R2 built Linux RTKLIB tools, RINEX, common epochs, GPS broadcast DD/LOS partial provider, and RTKLIB moving-base diagnostics."
PAPER3E_DDLOS_BACKED_TRUE_LIT_FULL_MATRIX,supervisor final report and method tables,FOUND,<PAPER3E_STAGE_ROOT>/PAPER3E_SUPERVISOR_FINAL_REPORT.md,<PAPER3E_EXPORT_ROOT>/PAPER3E_ROW_LEVEL_MASTER_TABLE.csv,APPENDIX_ALLOWED,"PAPER3E completed 720/720 BY2 DD/LOS-backed module rows with yaw metric invalid."
PAPER3F_FULL_BACKEND_UPGRADE_AND_FINAL_EVIDENCE,supervisor final report and backend classification,FOUND,<PAPER3F_STAGE_ROOT>/PAPER3F_SUPERVISOR_FINAL_REPORT.md,<PAPER3F_EXPORT_ROOT>/PAPER3F_METHOD_BACKEND_CLASSIFICATION_TABLE.csv,APPENDIX_ALLOWED,"PAPER3F completed 720/720 backend-upgraded partial/native/proxy rows; yaw not closed."
PAPER3G_LAMBDA_MLAMBDA_CLAMBDA_BACKEND_AND_MULTIGNSS_DDLOS_REPAIR,supervisor final report and native metrics,FOUND,<PAPER3G_STAGE_ROOT>/PAPER3G_SUPERVISOR_FINAL_REPORT.md,<PAPER3G_EXPORT_ROOT>/PAPER3G_NATIVE_METRICS_SUMMARY.csv,APPENDIX_ALLOWED,"PAPER3G proves LAMBDA helper callability and GPS-only provider v2 with covariance; exact reproduction and body-yaw remain forbidden."
PAPER3H_MULTIGNSS_DDLOS_AND_FOURTH_LAYER_REPAIR,supervisor final report and provider v3,FOUND,<PAPER3H_STAGE_ROOT>/PAPER3H_SUPERVISOR_FINAL_REPORT.md,<PAPER3H_EXPORT_ROOT>/PAPER3H_PROVIDER_V3_SUMMARY.csv,MAIN_TEXT_ALLOWED_FOR_PROVIDER_V3_APPENDIX_FOR_NATIVE_METRICS,"PAPER3H reports GPS+BDS provider v3 ready, 600/720 BY2 rows completed, 120 blocked with proof, yaw invalid."
PAPER3I_PHYSICAL_YAW_SATPOS_IEKF_EQKF_INTERNAL_JOIN,supervisor final report and provider v4,FOUND,<PAPER3I_STAGE_ROOT>/PAPER3I_SUPERVISOR_FINAL_REPORT.md,<PAPER3I_EXPORT_ROOT>/PAPER3I_JOINED_EVIDENCE_TABLE.csv,MAIN_TEXT_ALLOWED_FOR_PROVIDER_V4_DIAGNOSTIC_FOR_IEKF_EQKF,"PAPER3I reports provider v4 GPS+BDS LOS-ready residual partial and JOINABLE_ERROR_SERIES for selected internal baselines; physical body-yaw remains user-evidence blocked."
