equation,paper_page,subject,printed_identity,dimension_or_shape,unit,provenance,closure_status,limitation
1,2,state vector,"x=[delta_phi_b,delta_v_g,delta_p_g,epsilon_b,nabla_b]^T",15x1,mixed,PAPER_DIRECT,CLOSED_PRINTED_ORDER,"attitude/body; velocity/geographic ENU; position latitude-longitude-height; gyro and accelerometer errors"
2,2,continuous error dynamics,"seven printed differential relations for attitude velocity position gyro error and accelerometer error",15-state,mixed,PAPER_DIRECT,PARTIAL,"F is said to stem from Eq2 but full F G and stochastic driving model are not printed"
3,2,measurement residual,"z=[delta_v_g-delta_v_GNSS_g; delta_p_g-delta_p_GNSS_g]",6x1,mixed m/s rad rad m,PAPER_DIRECT,CLOSED_PRINTED_SIGN,"physical INS and GNSS points and lever arm are not stated"
4,2,discrete model,"x_k=F_k x_{k-1}+w_{k-1}; z_k=H x_k+v_k",15-state and 6D,mixed,PAPER_DIRECT,PARTIAL,"noise generation discretization and reset are not printed"
5,3,predicted state,"xhat_{k|k-1}=F_k xhat_{k-1}",15x1,mixed,PAPER_DIRECT,CLOSED_LINEAR_RECURSION,"no cubature points appear"
6,3,predicted covariance,"P_{k|k-1}=F_k P_{k-1} F_k^T+Q_k",15x15,state-unit products,PAPER_DIRECT,CLOSED_LINEAR_RECURSION,"no cubature transform appears"
7,3,gain,"K_k=P^- H^T(H P^- H^T+R_k)^-1",15x6,mixed,PAPER_DIRECT,CLOSED_LINEAR_RECURSION,"paper calls branch CKF although equation is ordinary linear KF"
8,3,state update,"xhat_k=xhat^-+K_k(z_k-H xhat^-)",15x1,mixed,PAPER_DIRECT,CLOSED_LINEAR_RECURSION,"feedback into INS nominal state is not printed"
9,3,covariance update,"P_k=P^- - K_k Pzz K_k^T",15x15,state-unit products,PAPER_DIRECT,CLOSED_LINEAR_RECURSION,"Pzz is inferable as H P^- H^T+R; reset not printed"
10,3,strong-tracking prediction,"P^s=Lambda(P^- -Q)Lambda^T+Q",15x15,state-unit products,PAPER_DIRECT,CLOSED_PRINTED_FORM,"placement relative to observation update is printed"
11,3,identical-factor family,"lambda_ki=a_i c_k=a_i max(1 sqrt(tr(N_k)/tr(a M_k)))",scalar per state,dimensionless,PAPER_DIRECT,UNDER_SPECIFIED,"meaning of a M inside trace and all a_i values are not uniquely executable"
12,3,strong-tracking N matrix,"N_k=H^-1(E[e e^T]-beta R-H Q H^T)(H^T)^-1",claimed 15x15,state-unit products,PAPER_DIRECT,NOT_EXECUTABLE_AS_PRINTED,"H is 6x15 and has no ordinary inverse; generalized inverse/lifting is unspecified"
13,3,strong-tracking M matrix,"M_k=P^- -Q_k",15x15,state-unit products,PAPER_DIRECT,CLOSED_PRINTED_FORM,"depends on unresolved Eq12 for fading-factor use"
14,3,innovation covariance history,"e0 e0^T at k=0; (rho E_prev+e_k e_k^T)/(1+rho) at k>=1",6x6,measurement-unit products,PAPER_DIRECT,PARTIAL,"rho=.95 is printed later; nonfinite and history-start semantics beyond the formula are absent"
15,4,multiple fading factors,"lambda_ki=max(1 sqrt(N_k,ii/M_k,ii)); i=1..n",15 scalars,dimensionless,PAPER_DIRECT,NOT_EXECUTABLE_WITH_EQ12,"N diagonal is unavailable uniquely from non-square H; zero/negative ratios are unspecified"
16,5,measurement partition,"z_k=[z_k1;z_k2] with velocity and position parts",6x1,mixed,PAPER_DIRECT,CLOSED,"three velocity then three position components"
17,5,innovation partition,"e_k=z_k-H xhat^-=[e_k1;e_k2]",6x1,mixed,PAPER_DIRECT,CLOSED,"sign is observed residual minus predicted"
18,5,hypothesis distributions,"steady e_ki~N(0,Pzz_i); dynamic e_ki~N(mu_ki,Pzz_i)",3x1 per block,mixed,PAPER_DIRECT,CLOSED_SYMBOLIC,"distributional assumptions are claims not BY2-validated facts"
19,5,predictive observation covariance,"Pzz=[[Pzz_1,*],[*,Pzz_2]]",6x6,mixed-square,PAPER_DIRECT,CLOSED_PARTITION,"off-diagonal blocks are shown but later block tests do not state correlated-block treatment"
20,5,moving-average innovation,"bar_e_ki=(1/N) sum_{j=k-N+1}^k e_ji",3x1,mixed,PAPER_DIRECT,PARTIAL,"N=40 printed; first 39 epochs are unspecified"
21,5,chi-square statistic,"L_ki=N bar_e_ki^T(Pzz_i)^-1 bar_e_ki",scalar,dimensionless,PAPER_DIRECT,CLOSED_FORM,"which time-aggregated covariance accompanies averaged innovations is not further justified"
22,5,chi-square laws,"steady L~chi2(3); dynamic L~chi2(3,alpha)",scalar,dimensionless,PAPER_DIRECT,CLOSED_CLAIM,"model assumption only"
23,5,noncentral mean,"E[L_ki]=3+alpha_ki",scalar,dimensionless,PAPER_DIRECT,CLOSED,"standard noncentral chi-square identity"
24,5,estimated noncentrality,"alpha_hat=bar_L-3=(1/N)sum L_ji-3",scalar,dimensionless,PAPER_DIRECT,PARTIAL,"startup and negative estimate handling are absent"
25,5,smoothing matrix,"beta_k=diag(beta_k1 I3,beta_k2 I3)",6x6,dimensionless,PAPER_DIRECT,CLOSED_MEASUREMENT_SPACE,"does not define a_i or a 15-state lift"
26,6,velocity fuzzy consequents,"small:-.28 L1+13; medium:-.17 L1+6; large:1",scalar,dimensionless,PAPER_DIRECT,CLOSED_LOCAL_RULES,"firing normalization aggregation and clipping are absent"
27,6,position fuzzy consequents,"small:-.28 L2+18; medium:-.15 L2+13; large:1",scalar,dimensionless,PAPER_DIRECT,CLOSED_LOCAL_RULES,"firing normalization aggregation and clipping are absent"
28,7,evaluation error norms,"Delta_v and Delta_p are Euclidean 3-axis tracking-error magnitudes",scalar,m/s and m,PAPER_DIRECT,CLOSED_PAPER_METRIC,"paper experiment only; not reused as BY2 evidence"
29,7,position error conversion,"east=Re delta_lambda cos L; north=Re delta_L; up=delta_h",3x1,m,PAPER_DIRECT,CLOSED_PAPER_METRIC,"evaluation conversion does not close filter-state covariance units"
30,7,time-averaged RMSE,"sqrt((1/M) sum Delta^2) for velocity and position",scalar,m/s and m,PAPER_DIRECT,CLOSED_PAPER_METRIC,"paper experiment only; no values imported into current result set"
