level,group,method,registered_n,R1_unavailable_n,unavailable_to_finite_n,R2_unavailable_n,R2_algorithm_failure_n,R2_finite_n,audit_status_R1,audit_status_R2,observer_discrepancy_R2
type,D14,LC01,9,0,0,0,9,0,"{""NOT_EVALUATED"":9}","{""NOT_EVALUATED"":9}",
type,D14,EXT05C,9,0,0,0,9,0,"{""NOT_EVALUATED"":9}","{""NOT_EVALUATED"":9}",
type,D21,LC01,9,0,0,0,9,0,"{""FAIL"":2,""NOT_EVALUATED"":6,""PASS"":1}","{""NOT_EVALUATED"":6,""PASS"":3}","{""horizontal_max_m"":1.6881232242081456e-14,""up_max_m"":1.0658141036401503e-14,""yaw_max_deg"":3.979039320256561e-13}"
type,D21,EXT05C,9,0,0,0,9,0,"{""FAIL"":5,""NOT_EVALUATED"":4}","{""NOT_EVALUATED"":4,""PASS"":5}","{""horizontal_max_m"":1.0658141036401503e-14,""up_max_m"":1.4210854715202004e-14,""yaw_max_deg"":2.842170943040401e-14}"
type,D16,LC01,9,0,0,0,0,9,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":3.071126535662235e-14,""up_max_m"":1.432187701766452e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D16,EXT05C,9,0,0,0,0,9,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":3.011734476238034e-14,""up_max_m"":1.4654943925052066e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D18,LC01,9,0,0,0,0,9,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":3.064295997853154e-14,""up_max_m"":1.3822276656583199e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D18,EXT05C,9,0,0,0,0,9,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":2.994310809836307e-14,""up_max_m"":1.3988810110276972e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D03,LC01,9,8,8,0,0,9,"{""FAIL"":8,""PASS"":1}","{""PASS"":9}","{""horizontal_max_m"":2.8896526922390535e-14,""up_max_m"":1.4210854715202004e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D03,EXT05C,9,8,8,0,0,9,"{""FAIL"":8,""PASS"":1}","{""PASS"":9}","{""horizontal_max_m"":3.049939094966671e-14,""up_max_m"":1.4210854715202004e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D04,LC01,9,9,9,0,0,9,"{""FAIL"":9}","{""PASS"":9}","{""horizontal_max_m"":3.370400129833633e-14,""up_max_m"":2.842170943040401e-14,""yaw_max_deg"":4.092726157978177e-12}"
